id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
apt-0001,A. J. Splatt,A. J.,Splatt,urologist,medicine,,,,,phonetic,3,Splatt,Co-authored a urology paper that launched New Scientist's nominative determinism column.,,unknown,https://en.wikipedia.org/wiki/Nominative_determinism,,https://en.wikipedia.org/wiki/Nominative_determinism,Full given name Anthony; paper with D. Weedon 1977.,probable
apt-0002,Aaron Doctor,Aaron,Doctor,obstetrician-gynecologist,medicine,,United States,,,direct,5,Doctor,His surname is Doctor and he practises as a physician.,,unknown,https://npiregistry.cms.hhs.gov/,,https://doi.org/10.1179/002777310x12682237914945,Abel 2010 found disproportionate Doctor surnames among physicians. Audit: person_source_url is NPI registry homepage only; confirms licence exists but not specialty or employer from this URL.,probable
apt-0003,Aaron Judge,Aaron,Judge,MLB outfielder,sports,New York Yankees,United States,1992,,wordplay|ironic,3,Judge,His surname is the title of the umpire who rules on his at-bats.,,unknown,https://www.baseball-reference.com/players/j/judgeaa01.shtml,,,,verified
apt-0004,Aaron Snow,Aaron,Snow,NHL left wing,sports,Dallas Stars,Canada,1988,,semantic,2,Snow,His surname matches the cold conditions associated with hockey.,,unknown,https://www.hockey-reference.com/players/s/snowaa01.html,,,Audit: Snow/cold is a generic surname link shared by any hockey player; score inflated from 3.,verified
apt-0005,Abby Stork,Abby,Stork,obstetrician-gynecologist,medicine,,United States,,,semantic,5,Stork,"The stork is folklore's bird that delivers babies, matching obstetrics.",,unknown,https://npiregistry.cms.hhs.gov/,,https://npiregistry.cms.hhs.gov/,Audit: person_source_url is NPI registry homepage only; confirms licence exists but not specialty or employer from this URL.,probable
apt-0006,Abu Hafs Amr Haddad,Abu Hafs Amr,Haddad,Sufi mystic and blacksmith,religion,,Iran,,879,translation,5,Haddad,Al-Haddad means the blacksmith in Arabic; he worked as a smith in Nishapur.,Arabic: blacksmith,birth_name,https://en.wikipedia.org/wiki/Abu_Hafs_Amr_Haddad,https://en.wikipedia.org/wiki/Haddad,,9th-century figure.,verified
apt-0007,Adam Gunn,Adam,Gunn,decathlete,sports,,United States,1870,1935,semantic,2,Gunn,"Gunn evokes firearms, a weak fit for a 1904 all-around silver medalist.",,unknown,https://www.olympedia.org/athletes/78488,,,,borderline
apt-0008,Adam Riess,Adam,Riess,astrophysicist,science,Johns Hopkins University,United States,1969,,phonetic,2,Riess,Riess is a weak phonetic echo of rise for an astrophysicist who discovered cosmic acceleration.,,birth_name,https://en.wikipedia.org/wiki/Adam_Riess,,,"Nobel laureate; borderline phonetic fit. Audit: Connection uses ""resembles""; Nobel laureate but name fit is speculative at best.",borderline
apt-0009,Adam Speker,Adam,Speker,Barrister,law,5RB,United Kingdom,,,phonetic,4,Speker,"Speker sounds like speaker, the advocate's core courtroom role.",Variant of English speaker,unknown,https://www.5rb.com/barrister/adam-speker-kc/,,https://www.counselmagazine.co.uk/articles/the-name-of-the-law,Media and defamation silk; KC 2020.,verified
apt-0010,Adam Weiner,Adam,Weiner,urologist,medicine,,United States,,,semantic,4,Weiner,"Weiner is slang for penis, making his name an icebreaker in urology.",,unknown,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,,verified
apt-0011,Adolf Jäger,Adolf,Jäger,football forward,sports,FC Altona 93,Germany,1889,1944,translation,4,Jäger,"Jäger means hunter in German, fitting a prolific early-century forward.",German: hunter,birth_name,https://en.wikipedia.org/wiki/Adolf_J%C3%A4ger,https://en.wiktionary.org/wiki/J%C3%A4ger,,Scored Germany's only goal at the 1912 Olympics.,verified
apt-0012,Adrian Speck,Adrian,Speck,Barrister,law,8 New Square,United Kingdom,1969,,phonetic,3,Speck,"Speck resembles speak, fitting an advocate who argues patent and media cases.",Variant of English speaker,unknown,https://8newsquare.co.uk/barrister/adrian-speck/,,,KC 2012; IP litigator. Audit: Speck/speak resemblance is hedged phonetic link. Flagged automatically: connection wording asserts a loose link.,borderline
apt-0013,Aerial Powers,Aerial,Powers,basketball player,sports,,United States,1994,,semantic,2,Aerial,"Aerial suggests flight, fitting a WNBA athlete.",,birth_name,https://en.wikipedia.org/wiki/Aerial_Powers,,https://www.theguardian.com/lifeandstyle/2024/sep/17/aptronym-job-normative-determinism,"Audit: Aerial/flight is a mild given-name echo, not a clear 4; common English word. Flagged automatically: connection wording asserts a loose link.",borderline
apt-0014,Aidan Stone,Aidan,Stone,football goalkeeper,sports,Truro City,England,1999,,semantic,3,Stone,His surname Stone suggests a stonewall in goal.,,birth_name,https://en.wikipedia.org/wiki/Aiden_Stone,,,Former Mansfield Town and Port Vale keeper. Flagged automatically: connection wording asserts a loose link.,borderline
apt-0015,Aimee Blood,Aimee,Blood,registered nurse,medicine,,United States,,,semantic,3,Blood,Blood is a substance nurses routinely handle in clinical care.,,unknown,https://npiregistry.cms.hhs.gov/,,https://www.standard.co.uk/lifestyle/the-name-game-the-weird-science-of-nominative-determinism-6384728.html,Blood surname among physicians listed in Evening Standard; verified RN via NPI. Audit: person_source_url is NPI registry homepage only; confirms licence exists but not specialty or employer from this URL.,probable
apt-0016,Akihiko Hoshide,Akihiko,Hoshide,astronaut,science,JAXA,Japan,1968,,translation,4,Hoshi,Hoshi (星) means star in Japanese; he commanded the International Space Station.,Japanese: star,birth_name,https://en.wikipedia.org/wiki/Akihiko_Hoshide,https://en.wiktionary.org/wiki/%E6%98%9F,https://ja.wikipedia.org/wiki/%E3%82%A2%E3%83%97%E3%83%88%E3%83%AD%E3%83%8B%E3%83%A0,,verified
apt-0017,Akira Kurosawa,Akira,Kurosawa,film director,arts,,Japan,1910,1998,translation,4,Kurosawa,"Kurosawa means black swamp, apt for the dark moral landscapes of his samurai epics.",Japanese: black + swamp,birth_name,https://en.wikipedia.org/wiki/Akira_Kurosawa,https://en.wikipedia.org/wiki/Kurosawa_(surname),,Kanji 黒沢. Audit: Kurosawa black swamp for dark moral landscapes is invented kanji reading for film director.,rejected
apt-0018,Al Haynes,Al,Haynes,airline captain,transport,United Airlines,United States,1931,2019,semantic,2,Haynes,Weak surname link; included as captain who saved 185 aboard United Flight 232 in 1989.,,birth_name,https://en.wikipedia.org/wiki/Al_Haynes,,,"DC-10 captain during Sioux City emergency landing. Audit: Notes admit weak surname link; included only because of Flight 232 fame, not name fit.",rejected
apt-0019,Alain Casanova,Alain,Casanova,football manager,sports,Toulouse,France,1961,,ironic,3,Casanova,His surname evokes a lover but he was sacked by Toulouse after a poor start.,,birth_name,https://en.wikipedia.org/wiki/Alain_Casanova,,https://www.espn.com/espn/print?id=37577543,Former Toulouse player and manager. Flagged automatically: connection wording asserts a loose link.,borderline
apt-0020,Alan Ball,Alan,Ball,football midfielder,sports,England national team,England,1945,2007,semantic,4,Ball,His surname is the object at the centre of association football.,,birth_name,https://en.wikipedia.org/wiki/Alan_Ball_(footballer),,https://www.topendsports.com/fun/names/apt.htm,Youngest member of England's 1966 World Cup squad.,verified
apt-0021,Alan Heavens,Alan,Heavens,astronomer,science,,United States,,,semantic,4,Heavens,His surname names the sky studied by astronomers.,,unknown,https://profiles.imperial.ac.uk/a.heavens,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,Audit: Wikipedia article never existed; Imperial College profile confirms Professor Alan Heavens FRSE as Chair in Astrostatistics (cosmology).,verified
apt-0022,Alastair Cook,Alastair,Cook,cricketer,sports,England,England,1984,,semantic,2,Cook,His surname Cook names a kitchen trade in the ESPNcricinfo profession XI.,,birth_name,https://en.wikipedia.org/wiki/Alastair_Cook,,https://www.espncricinfo.com/story/espncricinfo-xi-cricketers-names-that-are-also-professions-722219,England's leading Test run-scorer.,verified
apt-0023,Albert Sidney Major Jr.,Albert,Major,U.S. Navy captain,military,United States Navy,United States,1908,1955,semantic,4,Major,His surname is Major while he reached the rank of Navy captain.,,unknown,https://usnamemorialhall.org/honorees/capt-albert-s-major-jr-usn/,,,,verified
apt-0024,Alec Steele,Alec,Steele,blacksmith,trades,,United Kingdom,1997,,phonetic,4,Steele,"Steele is a homophone of steel, the metal he forges as a blacksmith and YouTuber.",,birth_name,https://en.wikipedia.org/wiki/Alec_Steele,,https://en.wikipedia.org/wiki/Aptronym,British blacksmith with 3M+ YouTube subscribers.,verified
apt-0025,Alessandro Volta,Alessandro,Volta,physicist,science,,Italy,1745,1827,direct,1,Volta,The volt unit of electric potential is named directly for him.,,birth_name,https://en.wikipedia.org/wiki/Alessandro_Volta,,,Inventor of the voltaic pile. Audit: The volt unit was named after Volta; the name did not fit the work—the work took the name. Backwards eponym logic.,rejected
apt-0026,Alexander Burns Wallace,Alexander Burns,Wallace,plastic surgeon,medicine,Bangour General Hospital,Scotland,1906,1974,semantic,5,Burns,Wallace introduced the Rule of Nines for estimating burn surface area in The Lancet in 1951.,Middle name Burns; Wallace Rule of Nines,birth_name,https://en.wikipedia.org/wiki/Alexander_Burns_Wallace,,https://en.wikipedia.org/wiki/Nominative_determinism,Birth post-1920 but historical surgical eponym.,verified
apt-0027,Alexander Graham Bell,Alexander,Bell,inventor,science,,United States,1847,1922,semantic,5,Bell,"He invented the telephone, an instrument that rings a bell.",,unknown,https://en.wikipedia.org/wiki/Alexander_Graham_Bell,,https://en.wikipedia.org/wiki/Aptronym,,verified
apt-1266,Alf Hitchcock,Alfred,Hitchcock,chief constable and national police lead on knife crime,law,Association of Chief Police Officers; Ministry of Defence Police,United Kingdom,1958,2017,wordplay|other,3,Hitchcock,He shared his name with the director of Psycho while serving as British policing's national spokesman on knife crime.,,birth_name,https://en.wikipedia.org/wiki/Alf_Hitchcock,,https://en.wikipedia.org/wiki/Nominative_determinism,"Cited as a nominative determinism case by New Scientist's Feedback column and by Wikipedia. The fit rests on a famous namesake rather than on the meaning of the surname, so it is scored as wordplay rather than semantic. Born Alfred Henry Hitchcock; served as Metropolitan Police deputy assistant commissioner, then chief constable of Bedfordshire and of the Ministry of Defence Police. Restored after an earlier dedupe pass wrongly merged him with the film director.",verified
