id,full_name,verdict,new_aptronym_score,new_review_status,new_aptronym_type,new_connection,new_name_origin,new_name_status,new_person_source_url,new_notes,reason
apt-0021,Alan Heavens,fix,,,,,,,https://profiles.imperial.ac.uk/a.heavens,,"Wikipedia article never existed; Imperial College profile confirms Professor Alan Heavens FRSE as Chair in Astrostatistics (cosmology)."
apt-0138,Braeden Winters,fix,,,,,,,https://www.gjsentinel.com/news/western_colorado/december-heat-wave-in-grand-junction-is-unprecedented/article_85cdcec1-22c2-4cac-aa03-6a369d8a9e5b.html,,"weather.gov/gjt/staff returns 404; Grand Junction Sentinel article quotes NWS Meteorologist Braeden Winters at the Grand Junction WFO."
apt-0262,David A. Payne,fix,,,,,,,https://www.baus.org.uk/patients/surgical_outcomes/nephrectomy/2017/surgeon.aspx?id=1178,,"Ramsay Health URL slug mr-david-payne 404; BAUS surgeon profile confirms GMC 4090090 consultant urologist at Kettering General Hospital."
apt-0322,Douglas Given,fix,,,,,,,https://www.usgs.gov/news/state-news-release/shakealert-path-west-coast-earthquake-early-warning-how-a-few-seconds-can,,"usgs.gov/staff-profiles/douglas-given 404; USGS news release identifies Doug Given as USGS Geophysicist and Earthquake Early Warning Coordinator for ShakeAlert."
apt-0348,Elizabeth Fisher,fix,,,,,,,https://www.law.ox.ac.uk/people/liz-fisher,,"law.ox.ac.uk/people/elizabeth-fisher 404; Oxford Law Faculty lists Professor Liz Fisher (Elizabeth Fisher) as Professor of Environmental Law."
apt-0407,Gary Bowser,fix,,,,,,,https://en.wikipedia.org/wiki/Team_Xecuter,,"Wikipedia Gary_Bowser_(hacker) never existed; Team Xecuter article documents Bowser as Nintendo Switch circumvention-device hacker sentenced 2022."
apt-0464,Greg Brewer,fix,,,,,,,https://www.insidewinemaking.com/ep-156-greg-brewer-brewer-clifton,,"brewerclifton.com/about/greg-brewer returns 404/500; Inside Winemaking episode confirms Greg Brewer as founder and winemaker at Brewer-Clifton."
apt-0673,Joshua Bell,fix,,,,,,,https://en.wikipedia.org/wiki/Joshua_Bell,,"Joshua_Bell_(violinist) disambiguation suffix never existed; plain Joshua Bell article covers the concert violinist born 1967."
apt-0675,Joshua Price,fix,,,,,,,https://www.wvutech.edu/directory/business/price,,"business.wvu.edu/about/people/joshua-price 404; WVU Tech directory confirms Joshua Price Ph.D. as Associate Professor of Economics and Chair of the School of Business."
apt-0756,Lloyd Mints,fix,,,,,,,https://en.wikipedia.org/wiki/Lloyd_Mints,,"Lloyd_W._Mints title never existed; Lloyd Mints article covers the Chicago School economist who wrote on money supply and banking theory."
apt-0759,Louis Anatole La Garde,fix,,,,,,,https://en.wikipedia.org/wiki/Louis_La_Garde,,"Louis_Anatole_La_Garde title never existed; Louis La Garde article covers the U.S. Army Medical Corps colonel and gunshot-wounds pioneer."
apt-0794,Mark Avery,fix,,,,,,,https://markavery.info/,,"Wikipedia Mark_Avery never existed; markavery.info confirms Dr Mark Avery as RSPB Conservation Director 1998-2011 and ornithology campaigner."
apt-0843,Michael Lord,fix,,,,,,,"https://en.wikipedia.org/wiki/Michael_Lord,_Baron_Framlingham",,"Michael_Lord_(politician) never existed; peer was created Baron Framlingham because he could not take title Lord Lord."
apt-0871,Nat Seavy,fix,,,,,,,https://www.audubon.org/people/nat-seavy,,"audubon.org/content/nat-seavy 404; Audubon people page at /people/nat-seavy confirms former Director of Migration Science for the Migratory Bird Initiative."
apt-1090,Simon Grove,fix,,,,,,,https://www.redmap.org.au/my-redmap/view/DrSimonGroveTMAG/,,"arts.tas.gov.au literary-awards URL 404; REDmap scientist profile confirms Simon Grove as Senior Curator of Invertebrate Zoology at Tasmanian Museum and Art Gallery."
apt-1228,William Frost,reject,,,,,,,,"research-information.bris.ac.uk/en/persons/william-frost returns Page not found; no Professor William Frost in Bristol chemistry found—likely conflated with Christopher Frost at Bath."
