id,full_name,verdict,new_aptronym_score,new_review_status,new_connection,new_notes,reason
apt-0244,Cy Young,reject,,,,,"Cy is short for Cyclone, a nickname awarded after a tryout in which his fastball wrecked a wooden fence. The name was given because of the pitching, so it did not coincidentally fit it."
apt-0504,Home Run Baker,reject,,,,,"Frank Baker was called Home Run Baker after the home runs he hit in the 1911 World Series. The clearest possible case of a name awarded for the achievement it describes, and it was carrying a score of 5."
apt-0172,Catfish Hunter,reject,,,,,"Catfish was invented for him by Charlie Finley as publicity, complete with a fabricated backstory. The row's claim that it evoked a slippery, hard-to-handle pitcher is reasoning applied after the fact."
apt-0302,Deward Dopson,reject,,,,,"Swish was a nickname awarded for his shooting, so the name describes the achievement rather than anticipating it."
apt-0537,J.R. Smith,reject,,,,,"Swish was a nickname awarded for his shooting, so the name describes the achievement rather than anticipating it."
apt-0434,George Suttles,reject,,,,,"Mule was a nickname awarded for his hitting power, as the row's own sentence concedes."
apt-1097,Sparky Lyle,reject,,,,,"The row argues the nickname suggested his fastball, which inverts the causation and is unsupported besides."
apt-0877,Naveen Kumar,reject,,,,,"Naveen Express was a nickname awarded for the speed of his raids."
apt-1029,Rowland Wolfe,reject,,,,,"Flip was a nickname awarded for his tumbling. The row's connection rests on the nickname rather than on his surname."
apt-1060,Satchel Paige,reject,,,,,"Satchel came from the bags he carried as a boy working as a railway porter. It describes an earlier job and has no relation to pitching, so it is not an aptronym for a pitcher."
apt-0207,Christian Pain Edwards,reject,,,,,"Pain is a chosen fight name. A fighter who picks a menacing ring name is marketing, not nominative determinism."
apt-0825,Max Pain Griffin,reject,,,,,"Pain is a chosen fight name. A fighter who picks a menacing ring name is marketing, not nominative determinism."
apt-0760,Louis Armstrong,reject,,,,,"Famous-name rationalising: the row reads Armstrong as strong arm and calls it apt for a trumpeter, but trumpet playing is a matter of breath and lips. The surname is genuine; the connection is invented."
apt-0735,Leon "Stormy" Rottman,rescore,2,borderline,,,"Stormy was a professional broadcast nickname, so the fit was manufactured by the job rather than coincidental. Was carrying a score of 5."
apt-0993,Rob "Sunny" Roseman,rescore,2,borderline,,,"KUSA branded him Sunny specifically to pair him with Stormy Rottman, so the aptness was assigned by an employer for effect."
apt-0884,Nikolai Volkov,rescore,2,borderline,,,"The row mixes two claims: the surname means wolf's son, but the evidence offered is a ring name, The Russian Bear, which does not match. Whichever is meant, neither is established."
apt-0426,George Jeffreys,rescore,2,borderline,,,"The connection describes the Bloody Assizes and a nickname earned there rather than establishing any link between the surname Jeffreys and judging."
