id,full_name,verdict,new_aptronym_score,new_review_status,new_aptronym_type,new_connection,new_name_origin,new_name_status,new_person_source_url,new_notes,reason
apt-0017,Akira Kurosawa,reject,,rejected,,,,,,,Kurosawa black swamp for dark moral landscapes is invented kanji reading for film director.
apt-0031,Alfred Hitchcock,reject,,rejected,,,,,,,Connection fabricates hitch+shock from Hitchcock; notes also reference wrong ACPO spokesman merge. No sourced etymology links surname to suspense.
apt-0044,Amy Winehouse,rescore,2,,,,,,,,Winehouse wordplay is morbid coincidence but surname is birth name; connection overstated at 4.
apt-0061,Angel Martínez Vivas,reject,,rejected,,,,,,,"Angel given name for Catholic bishop is standard Hispanic naming, not aptronym."
apt-0063,Angel Rodríguez Gamoneda,reject,,rejected,,,,,,,Same Angel given-name pattern for bishop; not a surname coincidence.
apt-0066,Anna Pavlova,reject,,rejected,,,,,,,Pavlova dessert named after ballerina not vice versa; inverse naming not aptronym.
apt-0076,Anthony Weller,reject,,rejected,,,,,,,Weller suggests one who wells up with words is invented etymology.
apt-0078,Arianna Huffington,reject,,rejected,,,,,,,Huffington built HuffPost makes surname synonymous with news is corporate wordplay not aptronym.
apt-0096,Barbara Walters,reject,,rejected,,,,,,,Walters evokes waiting on celebrities is unsourced folk etymology on famous journalist.
apt-0098,Barnaby Smith,reject,,rejected,,,,,,,Smith common maker surname with faint verse link is generic occupational noise.
apt-0106,Benjamin Britten,reject,,rejected,,,,,,,Britten faintly echoes Britain is phonetic padding on famous composer.
apt-0129,Bob Woodward,reject,,rejected,,,,,,,Woodward suggests moving through thickets is invented metaphor for Watergate reporter.
apt-0134,Bono,rescore,2,,,,,,,,"Bono from Bono Vox good voice is chosen stage name from Latin, not birth-name coincidence."
apt-0150,Bronislav Yermak,reject,,rejected,,,,,,,Yermak MDM-Bank entry has no name-to-banking etymology; occupation list padding.
apt-0161,Carl Anthony Fisher,reject,,rejected,,,,,,,Fisher suggests fishers of men for auxiliary bishop is biblical cliché not surname fit.
apt-0176,Cecil Beaton,reject,,rejected,,,,,,,Beaton sounds like beautify for portrait photographer is invented homophone.
apt-0203,Chris Rock,rescore,2,,,,,,,,Rock names hard material stand-up hammers against is metaphor not name meaning.
apt-0210,Christiane Amanpour,reject,,rejected,,,,,,,Aman means peace in Persian contrasting war-zone reporting is given-name stretch not aptronym.
apt-0218,Christopher Wren,reject,,rejected,,,,,,,Wren small bird for architect who rebuilt skyline is weak animal-name echo.
apt-0225,Claude Monet,reject,,rejected,,,,,,,Monet/monnaie homophone is invented; Monet is toponymic surname unrelated to money.
apt-0228,Clint Eastwood,reject,,rejected,,,,,,,Eastwood timber-from-the-east stretch for Western star; place-name surname.
apt-0257,Danny Elfman,reject,,rejected,,,,,,,Elfman suggests elfin fantasy for Burton scores is invented wordplay.
apt-0266,David Copperfield,rescore,2,,,,,,,,Copperfield borrowed Dickens conjurer name for stage magician; birth name David Kotkin.
apt-0269,David Fisher,rescore,2,,,,,,,,"Fisher occupational surname for Michelin chef is generic English surname, not fish-specific."
