id,full_name,verdict,new_full_name,new_first_name,new_occupation,new_organization,new_birth_year,new_death_year,new_aptronym_score,new_aptronym_type,new_review_status,new_connection,new_name_origin,new_name_status,new_person_source_url,new_name_source_url,new_discovery_source_url,new_notes,reason
apt-0221,Claire Loiseau,fix,,,,,,,,,,,"French l'oiseau: the bird",,,https://en.wiktionary.org/wiki/oiseau,,,"Cited name source /wiki/loiseau does not exist. Replaced with the underlying French noun oiseau, which is what the surname contracts."
apt-0268,David E. Smith,fix,,,,,,,,,,,,,,,https://doi.org/10.1080/02791072.1988.10472514,,DOI had a duplicated year segment and did not resolve.
apt-0453,Gontran Cherrier,fix,,,,,,,,,,,"Occitan surname related to chairier; no connection to cerise (cherry)",,,https://fr.wiktionary.org/wiki/Cherrier,,,"Cited name source /wiki/cherrier does not exist. The French Wiktionary surname entry, now cited, gives an Occitan origin unrelated to cherries, which confirms the rejection."
apt-0819,Matt Beekman,fix,,,,,,,,,,"Beekman is an English homophone of bee-man, apt for a third-generation commercial beekeeper; the Dutch etymology is unrelated.","Dutch beek: brook, so Beekman is etymologically brook-man rather than bee-man",,,https://en.wiktionary.org/wiki/beek,,,"Cited name source /wiki/beekman does not exist. The Dutch root is beek (brook), so the aptness is the English homophone alone; recorded that explicitly and kept the type as phonetic."
apt-0927,Philander Rodman,fix,Philander Rodman Jr.,Philander,US Air Force serviceman and restaurateur,,,2020,,,,"Philander means to engage in casual love affairs; he acknowledged fathering 29 children by 16 mothers.",,birth_name,https://www.espn.com/basketball/pba/story/_/id/29474229/philander-rodman-jr-father-dennis-rodman-dies-79,https://en.wiktionary.org/wiki/philander,,"Father of Dennis Rodman. Served in the US Air Force, settled in Angeles City in the Philippines and died there on 14 July 2020, aged 79. A junior, so the forename was inherited rather than chosen.","Cited Wikipedia article does not exist. Replaced with the ESPN obituary, corrected the name to Philander Rodman Jr. and sourced the 29 children figure to his own acknowledgement rather than his son's higher claim of 47."
apt-0945,Publius Valerius Publicola,fix,,,,,,,,,,,,,,https://en.wiktionary.org/wiki/Publicola,,,Lowercase wiktionary entry does not exist; the Latin cognomen is capitalised.
apt-0950,Quintus Pedius Publicola,fix,,,,,,,,,,,,,,https://en.wiktionary.org/wiki/Publicola,,,Lowercase wiktionary entry does not exist; the Latin cognomen is capitalised.
apt-0958,Ray Baker,fix,Raymond Baker,Raymond,cricketer,Surrey County Cricket Club,1954,,,,,,,,https://en.wikipedia.org/wiki/Raymond_Baker_(cricketer),,,"Right-arm medium-pace bowler for Surrey between 1973 and 1978 and a team-mate of Alan Butcher, which is where the butcher-and-baker quip comes from.","Cited Wikipedia article does not exist; the article is at Raymond Baker (cricketer). That source also corrects the birth year, which was recorded as 1949 rather than 1954, and shows he was a medium-pacer rather than a fast bowler."
apt-1111,Steve Slater,reject,,,,,,,,,,,,,,,,,"No Steve Slater appears among the 20 Slaters in the Rugby League Project player database, the cited Wikipedia article does not exist, and Bradford Bulls did not exist under that name until 1996, so a 1954-born winger could not have played for them. The connection also has no lexical basis. Treated as fabricated."
apt-1118,Storm Dunlop,fix,,,"meteorologist, astronomer and author",British Astronomical Association,1942,2025,,,,,,,https://www.rmets.org/news/remembering-storm-dunlop,,,"Fellow of the Royal Astronomical and Royal Meteorological Societies, president of the British Astronomical Association 1986-87, lead author of the Collins Guide to the Night Sky and author of several weather books. Died 23 January 2025. Whether Storm is his birth forename is not established.","Cited Wikipedia article does not exist. Replaced with the Royal Meteorological Society obituary, which also supplies the dates and the professional affiliations."
apt-1265,Zoltan Ovary,fix,,,immunologist and professor of pathology,New York University School of Medicine,1907,2005,,,,,,,https://archives.med.nyu.edu/taxonomy/term/8392,,,"Born Zoltan Purjesz Ovary in Kolozsvar in 1907; discovered the passive cutaneous anaphylaxis reaction. Kept as a rejected row because the widely repeated claim that he was a gynaecologist is false.","Cited Wikipedia article does not exist. Replaced with the NYU medical archives record, which confirms the dates and that he was an immunologist, not a gynaecologist."
