id,full_name,verdict,new_aptronym_score,new_review_status,new_aptronym_type,new_connection,new_name_origin,new_name_status,new_person_source_url,new_notes,reason
apt-0008,Adam Riess,rescore,2,borderline,,Riess is a weak phonetic echo of rise for an astrophysicist who discovered cosmic acceleration.,,,,,Connection uses "resembles"; Nobel laureate but name fit is speculative at best.
apt-0025,Alessandro Volta,reject,1,rejected,,,,,,,The volt unit was named after Volta; the name did not fit the work—the work took the name. Backwards eponym logic.
apt-0028,Alfred Adler,rescore,3,,,,,,,Adler means eagle in German but Jung's will-to-power reading is anecdotal; no documented name-occupation link in sources.
apt-0036,Allison Field,fix,4,,,Her surname Field matches her career as a television meteorologist like her father Frank Field.,,unknown,https://en.wikipedia.org/wiki/Frank_Field_(meteorologist),,person_source_url verified Frank Field not Allison; daughter confirmed in Frank Field Wikipedia; birth_name unverified for Allison.
apt-0042,Amy Freeze,rescore,4,,,Her surname Freeze denotes cold weather she forecasts as a television meteorologist.,,,,,Score 5 inflated; connection used hedging "evokes" for a clear but not near-exact surname match.
apt-0048,André-Marie Ampère,reject,1,rejected,,,,,,,The ampere unit was named after Ampère; backwards eponym—name followed the discovery not the reverse.
apt-0054,Andrew Fountain,rescore,3,,,His surname Fountain names flowing water fitting a glaciologist who studies meltwater from glaciers.,,,,,Score 5 inflated; fountain-of-water link needs explanation and is not near-exact.
apt-0082,Art Hawkins,fix,2,borderline,,,,,,,Source confirms waterfowl biologist not hawk researcher; Hawkins/hawks homophone is invented—the row misstates his specialty.
apt-0095,Barbara Snow,rescore,3,,,Her surname Snow names frozen precipitation relevant to her decades of ornithological fieldwork in cold climates.,,,,,Score 5 inflated; connection hedged with "evokes" and snow is not specific to ornithology.
apt-0112,Bernard Foing,rescore,2,borderline,,,,,,,"Foing sounds like going" is phonetic invention; lunar mission scientist but surname has no documented apt meaning.
apt-0151,Brooke Brighton,rescore,2,borderline,,,,,,,Connection uses "evoking sunny"—invented semantic stretch on a place-name surname.
apt-0160,Camilla Snowman Andresen,rescore,4,,,Her middle name Snowman names a snow figure fitting a professor who researches the Greenland Ice Sheet.,,,,,Middle-name aptronym is strong but not score-5 obvious; connection used "evokes."
apt-0223,Clarence Gamble,rescore,2,borderline,,,,,,,Gamble/risk link uses "suggests"—speculative wordplay unrelated to contraception research.
apt-0246,Dae-Sik Moon,rescore,2,borderline,,,,,,,Faculty page confirms supernova/GRB instrumentation work not lunar science; Moon is a common Korean surname.
apt-0254,Daniel Snowman,rescore,3,,,His surname Snowman names snow fitting an author of polar exploration books.,,,,,Polar historian not glaciologist; connection hedged with "evokes."
apt-0280,David Price,rescore,3,,,His surname Price names the economic variable central to his labour-economics research.,,,,,Economist named Price is a common-surname glance not a near-exact fit; score 5 inflated.
apt-0284,David Snow,rescore,3,,,His surname Snow names frozen precipitation from decades of ornithological fieldwork in cold climates.,,,,,Ornithologist not cryosphere scientist; connection uses "evokes"; score 5 inflated.
apt-0294,Dennis Bird,rescore,2,borderline,,,,,,,Stanford profile confirms geologist studying biogeochemistry not birds; connection falsely implies ornithological fit.
apt-0304,Diana Woei,rescore,2,borderline,,,,,,,Notes already flag Woei/waaien as folk etymology; Dutch wiki confirms meteorologist but wind link is unsourced invention.
