id,full_name,verdict,new_aptronym_score,new_review_status,new_aptronym_type,new_connection,new_name_origin,new_name_status,new_person_source_url,new_notes,reason
apt-0004,Aaron Snow,rescore,2,,,,,,,,"Snow/cold is a generic surname link shared by any hockey player; score inflated from 3."
apt-0013,Aerial Powers,rescore,2,,,,,,,,"Aerial/flight is a mild given-name echo, not a clear 4; common English word."
apt-0059,Andy Carroll,reject,,rejected,,,,,,,"Carroll has no etymological link to heading; connection fabricates a stat (24 headed goals) as name fit."
apt-0081,Arsène Wenger,reject,,rejected,,,,,,,"Connection invents destiny-by-name wordplay on Arsenal, not Wenger; Wenger is Alsatian occupational surname for wagon-maker."
apt-0085,Ashleigh Johnson,reject,,rejected,,,,,,,"Connection explicitly states Johnson does not describe goalkeeping; row is padding."
apt-0104,Bekim Kastrati,reject,,rejected,,,,,,,"Aptronym is a post-injury groin pun (testicle fracture vs Kastrati); fabricated, not a name meaning."
apt-0130,Bobby George,reject,,rejected,,,,,,,"George/King George pub-games link is invented; no documented name-to-darts connection."
apt-0136,Brad Hand,rescore,2,,,,,,,,"Every pitcher uses a hand; applies to all pitchers equally."
apt-0139,Brandon Fields,rescore,2,,,,,,,,"Fields/football fields is circular; any player on any field would fit."
apt-0143,Brian Baldinger,reject,,rejected,,,,,,,"Balding/head-knocking link is invented physical comedy with no name meaning."
apt-0167,Carmelita Jeter,rescore,3,,,,,,,,"Jeter/jet speed is a mild echo; overstated at 4 for a common surname variant."
apt-0189,Charles Palmer,reject,,rejected,,,,,,,"No dictionary or shooting source supports to palmer as aimless shooting; invented etymology."
apt-0211,Christiane Endler,reject,,rejected,,,,,,,"Endler is not derived from German Ende; fabricated last-line-of-defence etymology."
apt-0260,Darren Potter,reject,,rejected,,,,,,,"Wolves vs Stoke Potters club-nickname coincidence is not a name-to-role aptronym."
apt-0278,David Møller Wolfe,rescore,2,,,,,,,,"Signing for Wolves is club coincidence, not wolf surname meaning; overstated at 5."
apt-0309,Dixie Dean,reject,,rejected,,,,,,,"Dean does not mean header; connection substitutes headed-goal stats for a name link."
apt-0360,Eric Hollies,reject,,rejected,,,,,,,"Hollies does not relate to bowling; connection describes Bradman duck incident only."
apt-0462,Graham Potter,reject,,rejected,,,,,,,"Stoke City Potters nickname is club wordplay, not Graham Potter surname meaning."
apt-0572,James Trafford,reject,,rejected,,,,,,,"Geographic proximity to Old Trafford is coincidence, not Trafford surname meaning."
apt-0579,Janine Bowman,reject,,rejected,,,,,,,"Bowman means archer; she competed in sport pistol, not archery."
apt-0605,Jimmy McGrory,reject,,rejected,,,,,,,"McGrory has no header etymology; connection substitutes aerial-goal stats for name fit."
apt-0606,Joachim Löw,rescore,2,,,,,,,,"Löw is cognate with Löwe (lion) but lion/national-team link is generic; not a 3."
apt-0627,John de Wolf,rescore,4,,,,,,,,"Wolf/Wolves club match is strong coincidence but not near-exact like Usain Bolt; 5 inflated."
apt-0657,Jon Runyan,reject,,rejected,,,,,,,"Run+yan split is invented; Runyan is a surname with no documented run/lineman etymology."
apt-0715,Kobbie Mainoo,reject,,rejected,,,,,,,"Mainoo/Man U homophone is fan slang, not a documented name meaning or pun."
apt-0721,Larry Foote,rescore,3,,direct,,,,,,"Foote/foot is a glancing body-part echo, not direct occupational fit; not a 5."
apt-0778,Manfred Apt,reject,,rejected,,,,,,,"Apt/suitable meta-joke about aptronyms is self-referential padding, not sport fit."
apt-0798,Mark De Man,reject,,rejected,,,,,,,"De Man is Dutch surname of man; marking-a-man English misreading is fabricated."
apt-0800,Mark Henry,reject,,rejected,,,,,,,"Strong as Henry is invented phrase; Henry surname has no documented strength etymology here."
apt-0829,Mel Garside-Wight,reject,,rejected,,,,,,,"Wight-shift pun on positional change is invented wordplay; Garside-Wight has no wight meaning."
apt-0902,Pardeep Narwal,reject,,rejected,,,,,,,"Narwal has no documented name link; Dubki King nickname describes technique not surname."
apt-0960,Ray Reardon,reject,,rejected,,,,,,,"Pot Black tournament title is not a Reardon surname reading; wrong name element."
apt-0963,Red Barber,reject,,rejected,,,,,,,"Notes admit surname unrelated to broadcasting; red is nickname for hair color."
apt-0981,Richard Kingson,reject,,rejected,,,,,,,"King of saves is invented English homophone; Kingson is Ghanaian surname."
apt-1036,Ruth Apt,reject,,rejected,,,,,,,"Meta apt/aptronym echo is self-referential, not a swimming name fit."
apt-1063,Scott Goodyear,reject,,rejected,,,,,,,"Goodyear tire-brand homonym is corporate coincidence, not name-to-motorsport meaning."
apt-1078,Shane Lechler,reject,,rejected,,,,,,,"Leeching kick is invented; Lechler surname has no documented launch etymology."
apt-1098,Spottswood Poles,rescore,2,,,,,,,,"Foul-pole echo applies to any player named Poles on a diamond; weak generic wordplay."
apt-1137,Terrell Suggs,reject,,rejected,,,,,,,"Suggs/sacks homophone is invented; Suggs is not an English sack word."
apt-1160,Tim Cahill,reject,,rejected,,,,,,,"Cahill does not mean header; connection substitutes aerial-goal reputation for etymology."
apt-1166,Todd Apted,rescore,2,,,,,,,,"Apted/apt resemblance is mild English echo, not a documented name meaning."
apt-0298,Derek Jeter,rescore,3,,,,,,,,"French jeter etymology is sourced but requires explanation; canonical 4 overstated."
apt-0364,Ernst Fast,fix,3,,ironic,,,,,,"Fast/quick for a marathon bronze is ironic (distance not speed); was mis-tagged semantic at 5."
apt-0479,Harry Caray,fix,,,,,unknown,,,,"Source gives birth name Harry Christopher Carabina; Anglicized stage name, not verified birth_name."
apt-0549,Jake Striker,fix,,,wordplay,,,,,,"Striker is surname homophone of strike/strikeout, not direct occupation name; drop direct tag."
apt-0308,Dietmar Schütze,fix,,,,,,,https://de.wikipedia.org/wiki/Dietmar_Sch%C3%BCtze,,"Person source was de.zxc.wiki (unacceptable); replaced with German Wikipedia."
