id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
apt-0006,Abu Hafs Amr Haddad,Abu Hafs Amr,Haddad,Sufi mystic and blacksmith,religion,,Iran,,879,translation,5,Haddad,Al-Haddad means the blacksmith in Arabic; he worked as a smith in Nishapur.,Arabic: blacksmith,birth_name,https://en.wikipedia.org/wiki/Abu_Hafs_Amr_Haddad,https://en.wikipedia.org/wiki/Haddad,,9th-century figure.,verified
apt-0017,Akira Kurosawa,Akira,Kurosawa,film director,arts,,Japan,1910,1998,translation,4,Kurosawa,"Kurosawa means black swamp, apt for the dark moral landscapes of his samurai epics.",Japanese: black + swamp,birth_name,https://en.wikipedia.org/wiki/Akira_Kurosawa,https://en.wikipedia.org/wiki/Kurosawa_(surname),,Kanji 黒沢.,verified
apt-0031,Alfred Hitchcock,Alfred,Hitchcock,film director,arts,Association of Chief Police Officers,England,1899,1980,semantic,3,Hitchcock,"Hitchcock suggests a sudden hitch and shock, apt for the master of suspense.",,birth_name,https://en.wikipedia.org/wiki/Alfred_Hitchcock,,https://en.wikipedia.org/wiki/Aptronym,Distinct from ACPO knife-crime spokesman of same surname. / Not the film director; ACPO spokesman. / Not the film director; ACPO spokesman.,verified
apt-0033,Alison Light,Alison,Light,painter,arts,,United States,,,direct,4,Light,"Light names illumination, apt for a Sarasota abstract painter.",,birth_name,https://lightartwork.com/,,https://lightartwork.com/,,verified
apt-0044,Amy Winehouse,Amy,Winehouse,singer-songwriter,arts,,England,1983,2011,wordplay,4,Winehouse,"Winehouse joins wine and house, apt for a singer who died of alcohol poisoning at home.",,birth_name,https://en.wikipedia.org/wiki/Amy_Winehouse,,https://en.wikipedia.org/wiki/Aptronym,,verified
apt-0057,Andrew Waterhouse,Andrew,Waterhouse,professor of enology,food,University of California Davis,United States,,,ironic|semantic,4,Waterhouse,"Waterhouse embeds water and wine though he is a leading wine chemist, not avoiding wine.",English compound surname,birth_name,https://wineserver.ucdavis.edu/people/andrew-waterhouse,,,Professor emeritus of enology; nominative contradeterminism case cited in literature. / Nominative contradeterminism example: water expert in wine.,verified
apt-0061,Angel Martínez Vivas,Angel,Martínez Vivas,Catholic bishop,religion,Diocese of Tsiroanomandidy,Madagascar,1904,1981,semantic,4,Angel,His given name Angel names the heavenly messengers central to Christian faith he preached as bishop.,,birth_name,https://www.catholic-hierarchy.org/bishop/bmarviv.html,,,Bishop of Tsiroanomandidy Madagascar 1959–1977.,verified
apt-0063,Angel Rodríguez Gamoneda,Angel,Rodríguez Gamoneda,Catholic bishop,religion,Vicariate of Iquitos,Peru,1893,1985,semantic,4,Angel,His given name Angel names heavenly messengers central to the faith he preached as bishop.,,birth_name,https://www.catholic-hierarchy.org/bishop/broga.html,,,Vicar apostolic of Iquitos Peru 1955–1967.,verified
apt-0065,Ann Greathouse,Ann,Greathouse,realtor,business,,United States,,,semantic,4,Greathouse,Her surname sells the product realtors market.,,birth_name,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,,probable
apt-0066,Anna Pavlova,Anna,Pavlova,ballerina,arts,Imperial Russian Ballet,Russia,1881,1931,wordplay,3,Pavlova,"Pavlova shares its name with the light meringue dessert, apt for a delicate prima ballerina.",,birth_name,https://en.wikipedia.org/wiki/Anna_Pavlova,,,"Dessert named after her, not vice versa.",verified
apt-0071,Anthony Brewergray,Anthony,Brewergray,head brewer,food,Mountain Monk Brewers,Australia,,,direct,5,Brewer,His surname contains Brewer and he is the head brewer at a craft brewery.,Compound surname,birth_name,https://www.bordermail.com.au/story/8886430/inside-mail-north-east-beer-brewer-by-name-and-nature-living-destiny/,,,Opened commercial brewery Boxing Day 2022.,verified
apt-0072,Anthony Hazard,Anthony,Hazard,insurance agency owner,business,Hazard Insurance Inc,United States,,,semantic,5,Hazard,"Hazard names the peril insured against, fitting an insurance agency owner.",,birth_name,https://www.insuranceproviders.com/agents/hazard-hazard-insurance-inc-homestead/,,,"Owner of Hazard Insurance Inc in Homestead, Florida.",verified
apt-0076,Anthony Weller,Anthony,Weller,"novelist, poet and musician",arts,,United States,1957,2021,semantic,3,Weller,Weller suggests one who wells up with words and music across four creative careers.,English: one who wells,birth_name,https://www.anthonyweller.com/,,https://www.bostonglobe.com/2021/06/27/metro/paralyzed-by-illness-anthony-weller-63-wrote-sonnets-letter-time/,Son of Pulitzer-winning correspondent George Weller.,verified
apt-0078,Arianna Huffington,Arianna,Huffington,media executive and author,media,HuffPost,United States,1950,,wordplay,3,Huffington,"Huffington built HuffPost, making her surname synonymous with online news.",,birth_name,https://en.wikipedia.org/wiki/Arianna_Huffington,,,Born Ariadni-Anna Stasinopoulou.,verified
apt-0083,Art Spiegelman,Art,Spiegelman,cartoonist,arts,,United States,1948,,translation,4,Spiegelman,"Spiegelman means mirror man in German, fitting a cartoonist who reflected the Holocaust.",German: mirror + man,birth_name,https://en.wikipedia.org/wiki/Art_Spiegelman,https://en.wiktionary.org/wiki/Spiegel,,Maus Pulitzer Prize winner.,verified
apt-0084,Arthur Bliss,Arthur,Bliss,composer,arts,,England,1891,1975,semantic,3,Bliss,"Bliss names joy, apt for a composer of celebratory ceremonial music.",,birth_name,https://en.wikipedia.org/wiki/Arthur_Bliss,,,Master of the Queen's Music.,verified
apt-0087,Auguste Lumière,Auguste,Lumière,cinema pioneer,arts,Lumière Company,France,1862,1954,translation,4,Lumière,Lumière means light in French; early film depended on light.,French: light,birth_name,https://en.wikipedia.org/wiki/Auguste_and_Louis_Lumi%C3%A8re,https://en.wiktionary.org/wiki/lumi%C3%A8re,https://en.wikipedia.org/wiki/Aptronym,,verified
apt-0093,Bankee Kwan,Bankee,Kwan,financial services CEO,business,CASH Financial Services Group,Hong Kong,,,semantic,5,Bankee,His given name Bankee and role leading a firm called CASH both evoke banking.,,birth_name,https://www.cash.com.hk/en/aboutus_mgt.html,,,Chairman and CEO of CASH Financial Services Group.,verified
apt-0096,Barbara Walters,Barbara,Walters,television journalist,media,ABC News,United States,1929,2022,semantic,2,Walters,Walters evokes waiting on and interviewing the famous.,English: wafer maker,birth_name,https://en.wikipedia.org/wiki/Barbara_Walters,,,Pioneering female network news anchor.,borderline
apt-0098,Barnaby Smith,Barnaby,Smith,poet and music journalist,media,,Australia,,,semantic,2,Smith,Smith is a common maker surname with only a faint link to crafting verse.,English: metalworker,birth_name,https://thequietus.com/tq-charts/columns-of-the-year/top-40-best-compilation-albums-of-all-time/,,https://www.linkedin.com/in/barnaby-smith-33a48543,Freelance writer for The Quietus and Rolling Stone Australia.,borderline
apt-0106,Benjamin Britten,Benjamin,Britten,composer,arts,,England,1913,1976,phonetic,2,Britten,"Britten faintly echoes Britain, apt for England's leading 20th-century opera composer.",,birth_name,https://en.wikipedia.org/wiki/Benjamin_Britten,,,,borderline
apt-0108,Benjamin Millepied,Benjamin,Millepied,dancer and choreographer,arts,Paris Opera Ballet,France,1977,,translation,4,Millepied,"Millepied means thousand feet in French, apt for a ballet dancer.",French: thousand feet,birth_name,https://en.wikipedia.org/wiki/Benjamin_Millepied,https://en.wiktionary.org/wiki/mille,https://www.imdb.com/fr/name/nm1018521/bio/,,verified
apt-0113,Bert Beveridge,Bert,Beveridge,vodka distiller,business,Tito's Handmade Vodka,United States,,,semantic,5,Beveridge,"His surname is a near-homophone of beverage, fitting a spirits founder.",,birth_name,https://en.wikipedia.org/wiki/Tito%27s_Vodka,,https://en.wikipedia.org/wiki/Aptronym,Known professionally as Tito Beveridge.,verified
apt-0122,Blas Cantó,Blas,Cantó,singer,arts,,Spain,1991,,translation,4,Cantó,Cantó is the Spanish preterite of cantar (to sing); he is a professional vocalist.,Spanish: sang (cantar),birth_name,https://en.wikipedia.org/wiki/Blas_Cant%C3%B3,https://en.wiktionary.org/wiki/cantar,https://verne.elpais.com/verne/2019/10/11/articulo/1570790600_618544.html,Surname may be topographic; cantar homophony cited in El País.,verified
apt-0125,Bob Hope,Bob,Hope,comedian and actor,arts,,United States,1903,2003,semantic,3,Hope,Hope names the optimism he sold to troops and television audiences.,,birth_name,https://en.wikipedia.org/wiki/Bob_Hope,,,Born Leslie Townes Hope.,verified
apt-0126,Bob Rock,Bob,Rock,music producer,arts,,Canada,1954,,direct,5,Rock,"Rock is the genre he produced for Metallica, Aerosmith and Mötley Crüe.",,birth_name,https://en.wikipedia.org/wiki/Bob_Rock,,https://en.wikipedia.org/wiki/Aptronym,,verified
apt-0129,Bob Woodward,Bob,Woodward,investigative journalist,media,The Washington Post,United States,1943,,semantic,2,Woodward,Woodward suggests moving forward through thickets of political secrecy.,English: toward the wood,birth_name,https://en.wikipedia.org/wiki/Bob_Woodward,,,Co-reporter on Watergate.,borderline
