id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,David Leslie Limb,David,Limb,consultant orthopaedic surgeon,medicine,Leeds Teaching Hospitals NHS Trust,United Kingdom,1961,,semantic,5,Limb,"Limb is a body part central to orthopaedic surgery, and he specialises in shoulder and elbow surgery.",,unknown,https://www.leedsth.nhs.uk/consultants/mr-david-l-limb/,,https://doi.org/10.1308/147363515X14134529299420,Co-author of Limb et al. 2015 nominative determinism study.,verified
,Christopher Limb,Christopher,Limb,consultant general surgeon,medicine,University Hospitals Sussex NHS Foundation Trust,United Kingdom,,,semantic,5,Limb,"His surname denotes an arm or leg, the focus of much surgical anatomy.",,unknown,https://www.uhsussex.nhs.uk/consultants/mr-christopher-limb/,,https://doi.org/10.1308/147363515X14134529299420,Co-author of Limb et al. 2015; specialises in colorectal cancer surgery.,verified
,Catherine Ann Limb,Catherine,Limb,general practitioner,medicine,Leigh View Medical Practice,United Kingdom,,,semantic,4,Limb,Her surname is the anatomical term for an arm or leg in a family of limb-focused doctors.,,unknown,https://healthgps.co.uk/gp/4319-leigh-view-medical-practice/,,https://doi.org/10.1308/147363515X14134529299420,GMC 3070497; co-author of Limb et al. 2015.,verified
,Richard Limb,Richard,Limb,orthopaedic surgeon,medicine,NHS England,United Kingdom,,,semantic,4,Limb,He is an orthopaedic surgeon whose surname names the body parts his specialty treats.,,unknown,https://www.efort.org/wp-content/uploads/2016/06/CV_D_Limb.pdf,,https://doi.org/10.1308/147363515X14134529299420,Co-author of Limb et al. 2015; occupation confirmed via family CV listing and NHS profile.,probable
,Nicholas Burns-Cox,Nicholas,Burns-Cox,consultant urologist,medicine,Musgrove Park Hospital,United Kingdom,,,semantic,4,Burns,"Burns suggests burning pain, a symptom common in urological conditions.",,unknown,https://www.baus.org.uk/patients/surgical_outcomes/nephrectomy/2017/surgeon.aspx?id=1014,,https://doi.org/10.1308/147363515X14134529299420,Surname Burns cited in Limb et al. 2015 urology examples.,verified
,Andrew Ballaro,Andrew,Ballaro,consultant urologist,medicine,Royal Free Hospital,United Kingdom,,,semantic,3,Ball,"Ball echoes slang for testicle, fitting his urology specialty noted in Limb et al.",,unknown,https://mrandrewballaro.co.uk/,,https://doi.org/10.1308/147363515X14134529299420,GMC 4027768; Ball surname listed in Limb et al. 2015 urology table.,verified
,George Koch,George,Koch,urologist,medicine,Ohio State University Wexner Medical Center,United States,,,phonetic,3,Koch,"Koch sounds like cock, slang for penis, matching his urology practice.",,unknown,https://wexnermedical.osu.edu/find-a-doctor/george-koch-100472415,,https://doi.org/10.1308/147363515X14134529299420,Koch surname listed in Limb et al. 2015 urology examples.,verified
,Margaret Boyle,Margaret,Boyle,dermatologist,medicine,,United States,,,semantic,3,Boyle,"Boyle evokes boil, a common skin lesion treated in dermatology.",,unknown,https://npiregistry.cms.hhs.gov/,,https://doi.org/10.1308/147363515X14134529299420,Boyle/Hickey dermatology surnames in Limb et al. 2015; verified via NPI registry as dermatologist.,probable
,David Gore,David,Gore,surgeon,medicine,,United States,,,semantic,4,Gore,"Gore means bloodshed, apt for a surgeon whose work involves cutting tissue.",,unknown,https://npiregistry.cms.hhs.gov/,,https://doi.org/10.1308/147363515X14134529299420,Gore listed among general surgery surnames in Limb et al. 2015; verified surgeon via NPI.,probable
,Katrina Butcher,Katrina,Butcher,consultant upper gastrointestinal surgeon,medicine,University Hospitals Bristol and Weston NHS Foundation Trust,United Kingdom,,,ironic,4,Butcher,"Butcher suggests crude cutting, yet she is a precise benign upper GI surgeon.",,unknown,https://beta.jobs.nhs.uk/candidate/jobadvert/C9387-25-0853,,https://doi.org/10.1308/147363515X14134529299420,Butcher surname in Limb et al. 2015 general surgery list.,verified
