id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Jamie Maw,Jamie,Maw,food critic,food,Vancouver Magazine,Canada,,,semantic,4,Maw,"His surname is a homophone of maw, a voracious mouth fitting a restaurant critic.",,birth_name,https://vanmag.com/restaurant-awards/2008/lifetime-achievement-award-2008/,,https://slate.com/news-and-politics/2005/12/charol-shakeshaft-topped.html,Former Vancouver Magazine food editor; lifetime achievement award 2008.,verified
,Sean Baker,Sean,Baker,executive chef,food,Gather Restaurant,United States,,,direct,5,Baker,"His surname names the trade of baking, which he practised as Gather's founding chef.",English occupational surname,birth_name,https://www.berkeleyside.org/2015/10/09/bites-butchers-son-to-university-gathers-new-chef/,,,Founding chef at Gather in Berkeley.,verified
,Peter Doughty-Cook,Peter,Doughty-Cook,baker,food,Peter Cooks Bread Ltd,United Kingdom,,,wordplay,5,Cook,His surname embeds Cook and his bakery is literally called Peter Cooks Bread.,,birth_name,https://www.petercooksbread.co.uk/our-story,,,BIA Baker of the Year 2022.,verified
,Jeff Baker,Jeff,Baker,chef,food,Donald Russell Limited,United Kingdom,,,direct,4,Baker,His surname is the occupation he pursued for decades as a Michelin-starred chef.,English occupational surname,birth_name,https://donaldrussell.com/pages/jeff-baker,,,Held a Michelin star at Pool Court for ten consecutive years from 1995.,verified
,Tom Cook,Tom,Cook,head chef,food,Le Pont De La Tour,United Kingdom,1976,,direct,4,Cook,"His surname is the everyday word for preparing food, his entire career.",English occupational surname,birth_name,https://tastingbritain.com/profile-tom-cook-le-pont-de-la-tour/,,,Head chef at Michelin-starred Le Pont De La Tour in London.,verified
,David Fisher,David,Fisher,chef,food,7 Adams,United States,,,semantic,3,Fisher,"His surname denotes one who catches fish, apt for a Michelin-starred chef.",English occupational surname,birth_name,https://guide.michelin.com/us/en/article/people/7-adams-one-michelin-star-san-francisco-california-power-couple,,,Co-chef with Serena Fisher at One Michelin Star 7 Adams.,verified
,Greg Brewer,Greg,Brewer,winemaker,food,Brewer-Clifton,United States,,,direct,5,Brewer,His surname names the craft of brewing and winemaking he has practised for three decades.,English occupational surname,birth_name,https://www.brewerclifton.com/about/greg-brewer,,https://en.wikipedia.org/wiki/Aptronym,Wine Enthusiast Winemaker of the Year 2020.,verified
,Anthony Brewergray,Anthony,Brewergray,head brewer,food,Mountain Monk Brewers,Australia,,,direct,5,Brewer,His surname contains Brewer and he is the head brewer at a craft brewery.,Compound surname,birth_name,https://www.bordermail.com.au/story/8886430/inside-mail-north-east-beer-brewer-by-name-and-nature-living-destiny/,,,Opened commercial brewery Boxing Day 2022.,verified
,Cathy Brewer,Cathy,Brewer,wine sales director,food,Villiera Wines,South Africa,,,semantic,4,Brewer,Her married surname Brewer fits her career marketing wine from a family winery.,,legal_name,https://icwm.co.za/members/brewer/,,,Qualified Cape Wine Master 1994; surname via marriage.,verified
,Michael Lean,Michael,Lean,professor of human nutrition,food,University of Glasgow,United Kingdom,1948,,semantic,4,Lean,"Lean evokes slimness, fitting a professor who researches obesity and weight management.",English adjective surname,birth_name,https://www.gla.ac.uk/schools/medicine/staff/mikelean/,,https://johndabell.com/2019/07/23/aptronyms/,Chair of Human Nutrition at Glasgow Royal Infirmary.,verified
,Luke Butcher,Luke,Butcher,head chef,food,Purnell's,United Kingdom,,,direct,5,Butcher,"His surname names the trade of cutting meat, which he practised as a Michelin-starred head chef.",English occupational surname,birth_name,https://www.thecaterer.com/news/luke-batch-purnells-chef-restaurant,,,Head chef at Glynn Purnell's one Michelin-starred Purnell's for nearly 14 years.,verified
,Silas Masih,Silas,Masih,chef and restaurateur,food,Pepper and Salt Restaurant,Australia,,,semantic,4,Pepper,"Masih calls himself the pepper in Pepper and Salt, his spice-driven fine dining restaurant.",,birth_name,https://www.pepperandsalt.com.au/about,,,Founder and head chef at Pepper and Salt at Forest Hill Winery since 2010.,verified
,Joshua Butt,Joshua,Butt,consultant gastroenterologist,food,University of Bristol,United Kingdom,,,ironic,4,Butt,"Butt is slang for buttocks, ironic for a gastroenterologist examining the colon.",,birth_name,https://www.bristol.ac.uk/people/?search=author&author1=Joshua+Butt,,https://icon.ink/articles/nominative-determinism-examples-jobs/,Consultant gastroenterologist at Bristol.,verified
,Andrew Waterhouse,Andrew,Waterhouse,professor of enology,food,University of California Davis,United States,,,ironic,4,Waterhouse,"Waterhouse embeds water and wine though he is a leading wine chemist, not avoiding wine.",English compound surname,birth_name,https://wineserver.ucdavis.edu/people/andrew-waterhouse,,,Professor emeritus of enology; nominative contradeterminism case cited in literature.,verified
,Brad Slaughter,Brad,Slaughter,meat department manager,food,,United States,,,semantic,4,Slaughter,"His surname denotes killing livestock, matching supermarket meat management.",,birth_name,https://www.thesun.co.uk/news/7990629/experts-names-bizarre-similarity-to-job/,,https://icon.ink/articles/nominative-determinism-examples-jobs/,Tabloid photo identification; employer not named in source.,probable
