id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Nathan Leeper,Nathan,Leeper,high jumper,sports,,United States,1977,,semantic,5,Leeper,"Leeper evokes leaping, fitting for an Olympic high jumper.",,birth_name,https://www.olympedia.org/athletes/89146,,,Olympedia notes his name as one of the most apt ever for an athlete.,verified
,Eugene Swift,Eugene,Swift,110 m hurdler,sports,,United States,1964,,semantic,4,Swift,"Swift suggests speed, apt for a 110 m hurdles Olympian.",,birth_name,https://www.olympedia.org/athletes/79106,,,,verified
,Greggmar Swift,Greggmar,Swift,110 m hurdler and track coach,sports,,Barbados,1991,,semantic,4,Swift,Swift suggests speed for a national-record hurdler who later coached track.,,birth_name,https://www.olympedia.org/athletes/123264,,https://msubeavers.com/sports/mens-track-and-field/roster/coaches/greggmar-swift/1147,,verified
,Bailey Swift,Bailey,Swift,sprinter,sports,,Great Britain,2002,,semantic,4,Swift,Swift suggests speed for a World Athletics-listed 200 m and 400 m sprinter.,,birth_name,https://worldathletics.org/athletes/x/14842015,,,,verified
,James Jett,James,Jett,sprinter,sports,,United States,1970,,semantic,4,Jett,Jett suggests jet-like speed for a 4×100 m relay gold medalist.,,birth_name,https://www.olympedia.org/athletes/78607,,,Also played NFL wide receiver.,verified
,Carmelita Jeter,Carmelita,Jeter,sprinter,sports,,United States,1979,,semantic,4,Jeter,Jeter evokes jet speed for a 100 m silver and relay gold medalist.,,birth_name,https://www.olympedia.org/athletes/126627,,,,verified
,Ernst Fast,Ernst,Fast,marathon runner,sports,,Sweden,1881,1959,semantic,5,Fast,"Fast means quick, apt for an Olympic marathon bronze medalist.",,birth_name,https://www.olympedia.org/athletes/76143,,,,verified
,Martin Rush,Martin,Rush,race walker,sports,,Great Britain,1964,,semantic,4,Rush,Rush suggests hurried movement for a 20 km race walk Olympian.,,birth_name,https://www.olympedia.org/athletes/69454,,,,verified
,Lisa Lightfoot,Lisa,Lightfoot,800 m runner,sports,,Australia,1966,,semantic,4,Lightfoot,Lightfoot suggests fleet running for an Olympic 800 m specialist.,,birth_name,https://www.olympedia.org/athletes/64541,,,,verified
,Endurance Abinuwa,Endurance,Abinuwa,sprinter,sports,,Nigeria,1987,,ironic,4,Endurance,Endurance suggests long-distance running but she sprinted in the 4×100 m relay.,,birth_name,https://www.olympedia.org/athletes/121767,,https://www.npr.org/sections/thetorch/2012/07/25/157360922/olympic-athletes-names-endurance-track-moist-swimming-and-a-leeper,,verified
,Kim Yu-Seok,Kim,Yu-Seok,pole vaulter,sports,,South Korea,1982,,ironic|phonetic,3,Yoo Suk,"Romanized as Yoo Suk Kim, his name reads like an English obscenity unrelated to vaulting.",,birth_name,https://www.olympedia.org/athletes/106561,,https://www.olympics.com/en/athletes/yoo-suk-kim,Also rendered Kim Yoo-Suk.,verified
,Willie Steele,Willie,Steele,long jumper,sports,,United States,1923,1989,semantic,3,Steele,"Steele suggests steel strength, loosely fitting a powerful long jump gold medalist.",,birth_name,https://www.olympedia.org/athletes/79092,,,,verified
,Malcolm Champion,Malcolm,Champion,swimmer,sports,,New Zealand,1883,1939,semantic,5,Champion,"Champion means winner, apt for New Zealand's first Olympic swimming gold medalist.",,birth_name,https://www.olympedia.org/athletes/45175,,,Olympedia calls him aptly named.,verified
,Ruth Apt,Ruth,Apt,swimmer,sports,,Uruguay,1953,,wordplay,4,Apt,"Apt means suitable or fitting, echoing aptronym itself for an Olympic swimmer.",,birth_name,https://www.olympedia.org/athletes/50932,,,,verified
,Manfred Apt,Manfred,Apt,decathlete,sports,,East Germany,1949,,wordplay,3,Apt,"Apt means suitable, loosely fitting a multi-event track athlete.",,birth_name,https://intersportstats.com/athletes/3000036995,,,,probable
,Todd Apted,Todd,Apted,decathlete,sports,,Australia,1970,,wordplay,3,Apted,"Apted resembles apt, suggesting suitability for a multi-event specialist.",,birth_name,https://worldathletics.org/athletes/australia/todd-apted-14600416,,,,probable
,Gout Gout,Gout,Gout,sprinter,sports,,Australia,2007,,ironic,4,Gout,"Gout is a painful joint disease, ironically opposite to a record-breaking teenage sprinter.",,birth_name,https://en.wikipedia.org/wiki/Gout_Gout,,https://www.espn.com/olympics/story/_/id/45904373/everything-know-gout-gout-australia-next-olympic-track-star-athlete-200m-compared-usain-bolt,Parents intended the name God; misheard at registration.,verified
