id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Werner Richter,Werner,Richter,constitutional court judge,law,Federal Constitutional Court,Germany,1959,,translation,5,Richter,"Richter is German for judge, matching his role as a Bundesverfassungsgericht judge.",German: judge,birth_name,https://de.wikipedia.org/wiki/Werner_Richter_(Jurist),https://en.wiktionary.org/wiki/Richter,https://de.wikipedia.org/wiki/Nomen_est_omen,,verified
,Hans Richter,Hans,Richter,Federal Court of Justice judge,law,Bundesgerichtshof,Germany,1885,1954,translation,5,Richter,Richter means judge in German; he served as a Bundesgerichtshof senate president.,German: judge,birth_name,https://de.wikipedia.org/wiki/Hans_Richter_(Richter),https://en.wiktionary.org/wiki/Richter,,Reichsanwalt and BGH judge.,verified
,Otto Koch,Otto,Koch,television chef,food,ARD-Buffet,Germany,1949,,translation,5,Koch,Koch means cook in German and he is a Michelin-starred chef.,German: cook,birth_name,https://de.wikipedia.org/wiki/Otto_Koch_(Koch),https://en.wiktionary.org/wiki/Koch,https://de.wikipedia.org/wiki/Nomen_est_omen,,verified
,Johann Gustav Fischer,Johann Gustav,Fischer,herpetologist and ichthyologist,science,Naturhistorisches Museum Hamburg,Germany,1819,1889,translation,4,Fischer,Fischer means fisher in German; he curated fish and reptile collections.,German: fisher,birth_name,https://en.wikipedia.org/wiki/Johann_Gustav_Fischer,https://en.wiktionary.org/wiki/Fischer,,,verified
,Rudolf von Richter,Rudolf,Richter,military judge,law,Reichsmilitärgericht,Germany,1835,1919,translation,4,Richter,Richter means judge in German; he presided over the Reich Military Court.,German: judge,birth_name,https://de.wikipedia.org/wiki/Rudolph_von_Richter,https://en.wiktionary.org/wiki/Richter,,,verified
,Ralf Richter,Ralf,Richter,maritime law professor and arbitrator,law,University of Rostock,Germany,1931,2021,translation,3,Richter,Richter means judge in German; he served as a Schiedsrichter on maritime courts.,German: judge,birth_name,https://de.wikipedia.org/wiki/Ralf_Richter_(Jurist),https://en.wiktionary.org/wiki/Richter,,,verified
,Heinrich Amadeus Wolff,Heinrich Amadeus,Wolff,constitutional court judge,law,Federal Constitutional Court,Germany,1965,,translation,4,Wolf,Wolff means wolf in German; he sits on Germany's highest court.,German: wolf,birth_name,https://de.wikipedia.org/wiki/Heinrich_Amadeus_Wolff,https://en.wiktionary.org/wiki/Wolf,,Semantic animal surname not judicial.,verified
,Markus Zimmermann,Markus,Zimmermann,sculptor,arts,,Germany,1978,,translation,4,Zimmermann,Zimmermann means carpenter in German; he is a professional Bildhauer.,German: carpenter,birth_name,https://de.wikipedia.org/wiki/Markus_Zimmermann_(Bildhauer),https://en.wiktionary.org/wiki/Zimmermann,,,verified
,Markus Wolf,Markus,Wolf,sculptor,arts,,Germany,1963,,translation,4,Wolf,Wolf means wolf in German; he is a stone sculptor specializing in historical monuments.,German: wolf,birth_name,https://de.wikipedia.org/wiki/Markus_Wolf_(Bildhauer),https://en.wiktionary.org/wiki/Wolf,,Not the Stasi spymaster.,verified
,Gerhard Weber,Gerhard,Weber,fashion designer,arts,Gerry Weber International,Germany,1941,2020,translation,4,Weber,Weber means weaver in German; he built a major women's fashion house.,German: weaver,birth_name,https://en.wikipedia.org/wiki/Gerhard_Weber_(designer),https://en.wiktionary.org/wiki/Weber,,,verified
,Herman Dijk,Herman,Dijk,regional water board chair,politics,Waterschap Drents Overijsselse Delta,Netherlands,1955,2019,translation,5,Dijk,Dijk means dike in Dutch; he served as dijkgraaf of a Dutch water board.,Dutch: dike,birth_name,https://nl.wikipedia.org/wiki/Herman_Dijk,https://en.wiktionary.org/wiki/dijk,https://onzetaal.nl/educatie/ik-zit-op-de/basisschool/bijzondere-woorden/aptoniem,,verified
,Peter Taal,Peter,Taal,language advisor,media,NOS,Netherlands,,,translation,5,Taal,Taal means language in Dutch; he coached Dutch at the national broadcaster for decades.,Dutch: language,birth_name,https://over.nos.nl/nieuws/25-jaar-taal-bij-de-nos/,https://en.wiktionary.org/wiki/taal,https://onzetaal.nl/educatie/ik-zit-op-de/basisschool/bijzondere-woorden/aptoniem,Self-described aptonym in NOS column.,verified
,Edwin Kist,Edwin,Kist,funeral director,other,Edwin Kist Uitvaartverzorging,Netherlands,,,translation,5,Kist,Kist means coffin in Dutch; he runs a funeral home.,Dutch: coffin,birth_name,https://edwinkist.nl/edwin-kist/,https://en.wiktionary.org/wiki/kist,https://onzetaal.nl/educatie/ik-zit-op-de/basisschool/bijzondere-woorden/aptoniem,,verified
,Ferry Kok,Ferry,Kok,ship's cook,food,P&O Ferries,Netherlands,,,translation,5,Kok,Kok means cook in Dutch; he works as a cook on a ferry.,Dutch: cook,birth_name,https://www.vrt.be/vrtnws/nl/2021/02/13/ferry-kok/,https://en.wiktionary.org/wiki/kok,https://www.538.nl/radio/538-nieuws/artikelen/ferry-kok-die-als-kok-werkt-op-een-ferry-wint-de-eerste-hennie-de-haan-cup,Hennie de Haan Cup winner 2021.,verified
,Hennie de Haan,Hennie,de Haan,poultry farmers union chair,politics,Nederlandse Vakbond Pluimveehouders,Netherlands,,,translation,5,Haan,Haan means rooster in Dutch; she led the Dutch poultry farmers' union.,Dutch: rooster,birth_name,https://www.pluimveeweb.nl/artikel/420482-nalatenschap-hennie-de-haan-het-roer-moet-om/,https://en.wiktionary.org/wiki/haan,https://nl.wikipedia.org/wiki/Aptoniem,No Wikipedia biographical article.,verified
,Pim Visser,Pim,Visser,fisheries industry executive,business,VisNed,Netherlands,,,translation,5,Visser,Visser means fisher in Dutch; he led the Dutch demersal fisheries association.,Dutch: fisher,birth_name,https://www.visned.nl/pers,https://en.wiktionary.org/wiki/visser,https://www.rd.nl/artikel/969153-pim-visser-dienstbaar-aan-de-visserman,,verified
,Gert Oostindie,Gert,Oostindie,colonial historian,science,Leiden University,Netherlands,1955,,translation,4,Oostindie,Oostindie means East Indies in Dutch; he specialises in Dutch colonial history.,Dutch: East Indies,birth_name,https://en.wikipedia.org/wiki/Gert_Oostindie,https://en.wiktionary.org/wiki/Oost-Indi%C3%AB,https://onzetaal.nl/educatie/ik-zit-op-de/basisschool/bijzondere-woorden/aptoniem,"Wikipedia notes Oostindie may derive from Oosteinde (east end), not Oost-Indië.",probable
,Diana Woei,Diana,Woei,television meteorologist,weather,Omroep Flevoland,Netherlands,1965,,translation,3,Woei,"Woei evokes waaien (to blow) in Dutch, loosely fitting a weather presenter.",Dutch: waaien (to blow),birth_name,https://wiki.beeldengeluid.nl/index.php/Diana_Woei,https://en.wiktionary.org/wiki/waaien,https://onzetaal.nl/educatie/ik-zit-op-de/basisschool/bijzondere-woorden/aptoniem,Surname is also Chinese; wind link is folk etymology.,probable
,Edgar Kaal,Edgar,Kaal,hairdresser,trades,Kapsalon Edgar Kaal,Netherlands,,,translation,4,Kaal,Kaal means bald in Dutch; he runs a barber shop.,Dutch: bald,birth_name,https://www.kapsalonedgarkaal.nl/,https://en.wiktionary.org/wiki/kaal,https://www.dbnl.org/tekst/dela012alge01_01/dela012alge01_01_05592.php,,verified
