id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Helen DeWitt,Helen,DeWitt,novelist,arts,,United States,,,phonetic,3,DeWitt,"DeWitt sounds like de write, fitting a comic novelist.",,birth_name,https://en.wikipedia.org/wiki/Helen_DeWitt,,https://en.wikipedia.org/wiki/Aptronym,Wikipedia aptronym list; New Yorker 2018 profile.,verified
,Gabe Pressman,Gabe,Pressman,television journalist,media,WNBC,United States,1924,2017,direct,5,Pressman,Pressman names the press corps he reported for over six decades.,,birth_name,https://en.wikipedia.org/wiki/Gabe_Pressman,,https://en.wikipedia.org/wiki/Aptronym,WNBC legend; Washington Post 2004 obituary profile.,verified
,Bob Rock,Bob,Rock,music producer,arts,,Canada,1954,,direct,5,Rock,"Rock is the genre he produced for Metallica, Aerosmith and Mötley Crüe.",,birth_name,https://en.wikipedia.org/wiki/Bob_Rock,,https://en.wikipedia.org/wiki/Aptronym,,verified
,David W. Music,David W.,Music,composer of church music,arts,,United States,1957,,direct,5,Music,His surname is Music and he composes and publishes church music.,,birth_name,https://en.wikipedia.org/wiki/David_W._Music,,https://en.wikipedia.org/wiki/Aptronym,Professor emeritus of church music at Baylor.,verified
,Selwyn Image,Selwyn,Image,artist and designer,arts,,England,1849,1930,direct,5,Image,Image names the visual works he created as a Pre-Raphaelite artist.,,birth_name,https://en.wikipedia.org/wiki/Selwyn_Image,,https://en.wikipedia.org/wiki/Aptronym,Co-founder of the Century Guild of Artists.,verified
,Jim Starlin,Jim,Starlin,comics writer and artist,arts,Marvel Comics,United States,1949,,semantic,4,Starlin,"Starlin evokes stars, fitting his space opera characters at Marvel.",,birth_name,https://en.wikipedia.org/wiki/Jim_Starlin,,https://en.wikipedia.org/wiki/Aptronym,"Created Thanos, Drax and Adam Warlock.",verified
,Amy Winehouse,Amy,Winehouse,singer-songwriter,arts,,England,1983,2011,wordplay,4,Winehouse,"Winehouse joins wine and house, apt for a singer who died of alcohol poisoning at home.",,birth_name,https://en.wikipedia.org/wiki/Amy_Winehouse,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Jonatan Leandoer,Jonatan,Leandoer,rapper,arts,,Sweden,1996,,semantic,4,Lean,Lean names the opioid drink he referenced as rapper Yung Lean.,,birth_name,https://en.wikipedia.org/wiki/Yung_Lean,,https://en.wikipedia.org/wiki/Aptronym,Stage name Yung Lean; birth name Jonatan Leandoer Håstad.,verified
,Mickey Bass,Mickey,Bass,jazz bassist,arts,,United States,1943,2022,direct,5,Bass,"Bass is the instrument he played for Art Blakey, Sonny Rollins and Charles Mingus.",,professional_name,https://en.wikipedia.org/wiki/Mickey_Bass,,https://en.wikipedia.org/wiki/Aptronym,Birth name Lee Oddis Bass III.,verified
,Philip Glass,Philip,Glass,composer,arts,,United States,1937,,semantic,3,Glass,"Glass suggests transparency and refraction, echoing his crystalline minimalist scores.",,birth_name,https://en.wikipedia.org/wiki/Philip_Glass,,https://www.britannica.com/biography/Philip-Glass,,verified
,John Cage,John,Cage,composer,arts,,United States,1912,1992,semantic,3,Cage,Cage confines sound as his compositions explore silence and chance within boundaries.,,birth_name,https://en.wikipedia.org/wiki/John_Cage,,https://en.wikipedia.org/wiki/John_Cage,"Composer of 4'33"".",verified
