id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Michael T. Judge,Michael T.,Judge,Circuit court judge,law,Oconto County Circuit Court,US,,,direct|wordplay,5,Judge,His surname is the everyday word for the judicial office he holds.,English occupational surname,birth_name,https://www.wicourts.gov/news/thirdbranch/feb26/judge.htm,,https://www.greenbaypressgazette.com/story/news/2019/08/29/having-name-matches-your-job-can-curse-gift/2107540001/,Ran for office with 'Judge for judge' campaign signs.,verified
,William Wayne Justice,William Wayne,Justice,U.S. district judge,law,U.S. District Court for the Eastern District of Texas,US,1920,2009,direct,5,Justice,His surname matches the honorific title of a judge and his middle name completes the phrase William Wayne Justice.,English virtue surname,birth_name,https://www.fjc.gov/history/judges/justice-william-wayne,,https://www.counselmagazine.co.uk/articles/the-name-of-the-law,Chief judge 1980–1990; prominent civil-rights-era jurist.,verified
,Learned Hand,Learned,Hand,U.S. court of appeals judge,law,U.S. Court of Appeals for the Second Circuit,US,1872,1961,semantic|wordplay,4,Hand,"Judges hand down rulings, making his given name Learned Hand a near-perfect judicial phrase.",Given name Learned; birth name Billings Learned Hand per FJC,birth_name,https://www.fjc.gov/history/judges/hand-learned,https://www.etymonline.com/word/hand,https://en.wikipedia.org/wiki/Aptronym,Influential Second Circuit jurist.,verified
,John Minor Wisdom,John Minor,Wisdom,U.S. court of appeals judge,law,U.S. Court of Appeals for the Fifth Circuit,US,1905,1999,semantic,4,Wisdom,His surname denotes the sound judgment expected of a judge deciding constitutional cases.,English abstract virtue surname,birth_name,https://www.fjc.gov/history/judges/wisdom-john-minor,https://www.etymonline.com/word/wisdom,https://www.lifeofthelaw.org/2013/05/a-case-by-any-other-name/,Fifth Circuit civil-rights-era judge.,verified
,James Earl Graves Jr.,James Earl,Graves,U.S. court of appeals judge,law,U.S. Court of Appeals for the Fifth Circuit,US,1953,,semantic,3,Graves,"Graves evokes death and burial, domains criminal courts routinely confront.",English topographic surname,birth_name,https://www.fjc.gov/history/judges/graves-james-earl-jr,https://www.etymonline.com/word/grave,,Former Mississippi Supreme Court justice.,verified
,George F. Gunn Jr.,George F.,Gunn,U.S. district judge,law,U.S. District Court for the Eastern District of Missouri,US,1927,1998,semantic,3,Gunn,Gun names the central weapon in much of the criminal docket over which he presided.,English occupational surname (gunner),birth_name,https://www.fjc.gov/history/judges/gunn-george-f-jr,https://www.etymonline.com/word/gun,,Former Missouri Supreme Court justice.,verified
,Sherman Glenn Finesilver,Sherman Glenn,Finesilver,U.S. district judge,law,U.S. District Court for the District of Colorado,US,1927,2006,wordplay,4,Fine,"His surname embeds fine, the monetary penalty judges impose at sentencing.",Compound surname containing English fine,birth_name,https://www.fjc.gov/history/judges/finesilver-sherman-glenn,,,Denver chief judge 1982–1994.,verified
,William Lockhart Garwood,William,Garwood,U.S. court of appeals judge,law,U.S. Court of Appeals for the Fifth Circuit,US,1931,2011,ironic|semantic,3,Lockhart,"Lockhart suggests locking up prisoners, though he served on the appellate bench rather than as a warden.",Middle name Lockhart; Scottish place-name element lock,birth_name,https://www.fjc.gov/history/judges/garwood-william-lockhart,,,Former Texas Supreme Court associate justice.,probable
,Waller Thomas Burns,Waller Thomas,Burns,U.S. district judge,law,U.S. District Court for the Southern District of Texas,US,1858,1917,semantic,2,Burns,Burns echoes fire and arson cases that federal criminal courts handle.,English occupational surname (burner),birth_name,https://www.fjc.gov/history/judges/burns-waller-thomas,https://www.etymonline.com/word/burn,,Historical judge; weak fire link.,borderline
,Louis Henry Burns,Louis Henry,Burns,U.S. district judge,law,U.S. District Court for the Eastern District of Louisiana,US,1878,1928,semantic,2,Burns,"His surname shares a root with burn, evoking arson and fire-related prosecutions.",English occupational surname,birth_name,https://www.fjc.gov/history/judges/burns-louis-henry,https://www.etymonline.com/word/burn,,Former U.S. attorney for the Eastern District of Louisiana.,borderline
,Hugh Lennox Bond,Hugh Lennox,Bond,U.S. circuit judge,law,U.S. Circuit Courts for the Fourth Circuit,US,1828,1893,semantic,3,Bond,Bond denotes the bail bond system central to pretrial criminal procedure.,English status/occupational surname,birth_name,https://www.fjc.gov/history/judges/bond-hugh-lennox,https://www.etymonline.com/word/bond,,Presided over Reconstruction-era Ku Klux Klan trials.,verified
,Janet Bond Arterton,Janet Bond,Arterton,U.S. district judge,law,U.S. District Court for the District of Connecticut,US,1944,,semantic,3,Bond,Her middle name Bond evokes bail bonds and binding legal obligations.,Middle name Bond,birth_name,https://www.fjc.gov/history/judges/arterton-janet-bond,https://www.etymonline.com/word/bond,,Senior status since 2014.,verified
,Samuel Chase,Samuel,Chase,Associate justice of the Supreme Court,law,Supreme Court of the United States,US,1741,1811,semantic,3,Chase,"Chase suggests pursuit and apprehension, core activities of criminal justice.",English occupational surname (huntsman),birth_name,https://www.fjc.gov/history/judges/chase-samuel,https://www.etymonline.com/word/chase,,Impeached 1804; acquitted 1805.,verified
,Harrie Brigham Chase,Harrie Brigham,Chase,U.S. court of appeals judge,law,U.S. Court of Appeals for the Second Circuit,US,1889,1969,semantic,3,Chase,His surname evokes police and prosecutors chasing suspects through the courts.,English occupational surname,birth_name,https://www.fjc.gov/history/judges/chase-harrie-brigham,https://www.etymonline.com/word/chase,,Chief judge 1953–1954.,verified
,James Hunter III,James,Hunter,U.S. court of appeals judge,law,U.S. Court of Appeals for the Third Circuit,US,1916,1989,semantic,3,Hunter,"Hunter denotes one who tracks and captures quarry, like detectives pursuing cases.",English occupational surname,birth_name,https://www.fjc.gov/history/judges/hunter-james-iii,https://www.etymonline.com/word/hunt,,,verified
,Edwin Ford Hunter Jr.,Edwin Ford,Hunter,U.S. district judge,law,U.S. District Court for the Western District of Louisiana,US,1911,2002,semantic,3,Hunter,His surname fits a jurist who spent decades adjudicating criminal and civil disputes.,English occupational surname,birth_name,https://www.fjc.gov/history/judges/hunter-edwin-ford-jr,https://www.etymonline.com/word/hunt,,,verified
,Kevin Hunter Sharp,Kevin Hunter,Sharp,U.S. district judge,law,U.S. District Court for the Middle District of Tennessee,US,1963,,semantic,3,Hunter,His middle name Hunter evokes investigators who hunt evidence for trial.,Middle name Hunter,birth_name,https://www.fjc.gov/history/judges/sharp-kevin-hunter,https://www.etymonline.com/word/hunt,,,verified
,William H. Steele,William H.,Steele,U.S. district judge,law,U.S. District Court for the Southern District of Alabama,US,1951,,semantic,3,Steele,"Steele puns with steal, the crime he prosecuted as an assistant U.S. attorney before taking the bench.",English occupational surname,birth_name,https://www.fjc.gov/history/judges/steele-william-h,https://www.etymonline.com/word/steal,,Former assistant district attorney and U.S. attorney.,verified
,John E. Steele,John E.,Steele,U.S. district judge,law,U.S. District Court for the Middle District of Florida,US,1949,,semantic,3,Steele,"His surname homophones with steal, aligning with his career prosecuting criminals.",English occupational surname,birth_name,https://www.fjc.gov/history/judges/steele-john-e,https://www.etymonline.com/word/steal,,Former Wayne County and federal prosecutor.,verified
,James Skelly Wright,James Skelly,Wright,U.S. court of appeals judge,law,U.S. Court of Appeals for the D.C. Circuit,US,1911,1988,phonetic,3,Wright,"Wright sounds like right, the outcome judges are asked to deliver.",English occupational surname homophone of right,birth_name,https://www.fjc.gov/history/judges/wright-james-skelly,,https://www.lifeofthelaw.org/2013/05/a-case-by-any-other-name/,Desegregation jurist; D.C. Circuit chief judge 1978–1981.,probable
