id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,George McGovern,George,McGovern,U.S. senator and presidential nominee,politics,United States Senate,United States,1922,2012,phonetic,4,McGovern,"His surname contains govern, matching decades of governing as senator and presidential candidate.",,birth_name,https://en.wikipedia.org/wiki/George_McGovern,,https://en.wikipedia.org/wiki/Aptronym,McGovern is Irish Gaelic; phonetic link to govern is English-only.,verified
,George C. Marshall,George,Marshall,General of the Army and Secretary of State,military,United States Army,United States,1880,1959,semantic|wordplay,4,Marshall,"Marshall denotes a military commander, and contemporaries joked about addressing him as Marshal Marshall.",English: marshal (military commander),birth_name,https://en.wikipedia.org/wiki/George_C._Marshall,https://www.etymonline.com/word/marshal,https://en.wikipedia.org/wiki/Aptronym,Rejected field marshal title to avoid Marshal Marshall.,verified
,Michael Lord,Michael,Lord,life peer and former Deputy Speaker,politics,House of Lords,GB,1938,,direct,5,Lord,His surname is Lord and he sits as a member of the House of Lords.,,birth_name,https://en.wikipedia.org/wiki/Michael_Lord,,https://en.wikipedia.org/wiki/Aptronym,Created Baron Framlingham; could not take title Lord Lord.,verified
,Moses Blah,Moses,Blah,President and Vice President of Liberia,politics,Government of Liberia,Liberia,1947,2013,phonetic,4,Blah,"His surname sounds like blah, the dismissive noise associated with empty political rhetoric.",,birth_name,https://en.wikipedia.org/wiki/Moses_Blah,,https://www.politico.eu/article/nominative-determinism-brief-history-of-names-that-sound-like-jobs/,,verified
,Angus King,Angus,King,U.S. senator and former governor,politics,United States Senate,United States,1944,,semantic,4,King,"His surname is King while he served as governor and senator, offices associated with executive authority.",,birth_name,https://en.wikipedia.org/wiki/Angus_King,,,,verified
,Joseph Gurney Cannon,Joseph,Cannon,Speaker of the House,politics,United States House of Representatives,United States,1836,1926,semantic,4,Cannon,"His surname names artillery, apt for the powerful Speaker known as Czar Cannon.",,birth_name,"https://history.house.gov/People/Listing/C/CANNON,-Joseph-Gurney-(C000121)/",,,Cannon House Office Building named for him.,verified
,John Sergeant,John,Sergeant,U.S. representative and vice-presidential nominee,politics,United States House of Representatives,United States,1779,1852,direct,5,Sergeant,"His surname is Sergeant, the rank name, though he was a lawyer-politician rather than a soldier.",,birth_name,"https://history.house.gov/People/Listing/S/SERGEANT,-John-(S000246)/",,,,verified
,James Earl Major,James,Major,U.S. representative and federal judge,politics,United States House of Representatives,United States,1887,1972,semantic,4,Major,"His surname is the army rank Major, fitting a congressman who managed impeachment proceedings.",,birth_name,"https://history.house.gov/People/Listing/M/MAJOR,-James-Earl-(M000073)/",,,,verified
,Gouverneur Morris,Gouverneur,Morris,U.S. senator and constitutional draftsman,politics,United States Senate,United States,1752,1816,translation,5,Gouverneur,"His given name means governor in French, though he never held that office.",French: governor,birth_name,https://en.wikipedia.org/wiki/Gouverneur_Morris,https://en.wiktionary.org/wiki/gouverneur,https://en.wikipedia.org/wiki/Aptronym,Wikipedia lists as inaptronym because he never governed.,verified
,Stephen Buyer,Stephen,Buyer,U.S. representative,politics,United States House of Representatives,United States,1958,,ironic,4,Buyer,"His surname is Buyer, ironic after his conviction for buying stock on insider information.",,birth_name,https://en.wikipedia.org/wiki/Steve_Buyer,,https://en.wikipedia.org/wiki/Aptronym,,verified
,Donald Trump,Donald,Trump,President of the United States,politics,,United States,1946,,semantic,3,Trump,"His surname matches the trump card that beats all others, echoing his branding around winning.",English: trump (card games),birth_name,https://en.wikipedia.org/wiki/Donald_Trump,https://en.wiktionary.org/wiki/trump,https://en.wikipedia.org/wiki/Aptronym,Family name was Drumpf.,verified
,Mike Hookem,Mike,Hookem,UKIP fisheries spokesperson and MEP,politics,UK Independence Party,GB,1952,,semantic,4,Hookem,"His surname suggests hooking fish, fitting his role as fisheries spokesman.",,birth_name,https://en.wikipedia.org/wiki/Mike_Hookem,,https://www.politico.eu/article/nominative-determinism-brief-history-of-names-that-sound-like-jobs/,,verified
,William Cash,William,Cash,Member of Parliament,politics,House of Commons,GB,1940,,semantic,3,Cash,"His surname is Cash, noted during parliamentary expenses scrutiny over rental payments.",,birth_name,https://en.wikipedia.org/wiki/Sir_Bill_Cash,,https://www.theguardian.com/politics/2009/may/29/bill-cash-conservatives-mps-expenses,,verified
,Charles Coward,Charles,Coward,British Army warrant officer and Holocaust rescuer,military,British Army,GB,1905,1976,ironic,5,Coward,"Despite a surname meaning coward, he repeatedly escaped captivity and saved hundreds at Auschwitz.",,birth_name,https://en.wikipedia.org/wiki/Charles_Coward,,https://www.english-heritage.org.uk/visit/blue-plaques/charles-coward/,,verified
,Gouverneur Kemble Warren,Gouverneur,Warren,Union major general,military,United States Army,United States,1830,1882,translation,4,Gouverneur,"His given name means governor in French, though he served as a corps commander not a governor.",French: governor,birth_name,https://en.wikipedia.org/wiki/G._K._Warren,https://en.wiktionary.org/wiki/gouverneur,,Hero of Little Round Top at Gettysburg.,verified
