id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Adam Riess,Adam,Riess,astrophysicist,science,Johns Hopkins University,United States,1969,,phonetic,3,Riess,Riess resembles rise a weak link to discovering the accelerating expansion of space.,,birth_name,https://en.wikipedia.org/wiki/Adam_Riess,,,Nobel laureate; borderline phonetic fit.,borderline
,Alessandro Volta,Alessandro,Volta,physicist,science,,Italy,1745,1827,direct,5,Volta,The volt unit of electric potential is named directly for him.,,birth_name,https://en.wikipedia.org/wiki/Alessandro_Volta,,,Inventor of the voltaic pile.,verified
,Alfred Adler,Alfred,Adler,psychiatrist,science,,Austria,1870,1937,translation,4,Adler,Adler means eagle in German; Jung linked his surname to the will to power.,German: eagle,birth_name,https://en.wikipedia.org/wiki/Alfred_Adler,https://en.wiktionary.org/wiki/Adler,https://en.wikipedia.org/wiki/Nominative_determinism,Founder of individual psychology.,verified
,Andrew Fisher,Andrew,Fisher,oceanographer,science,University of California Santa Cruz,United States,,,semantic,4,Fisher,Fisher denotes one who fishes fitting an oceanographer studying hydrothermal vents and seafloor water.,,birth_name,https://eps.ucsc.edu/people/?directoryprofilecruzid=afisher,,,Distinguished professor of Earth and planetary sciences.,verified
,Andrew Fountain,Andrew,Fountain,glaciologist,science,Portland State University,United States,,,semantic,5,Fountain,His surname names a fountain of water fitting a professor who studies meltwater flow from glaciers.,,birth_name,https://www.pdx.edu/faculty-experts/expert/andrew-fountain,,https://www.neatorama.com/2013/03/19/The-Name-Number-for-Geology-and-for-Other-Professions/,Professor of geology and geography.,verified
,Andrew Waterhouse,Andrew,Waterhouse,wine chemist,science,University of California Davis,United States,,,semantic,4,Waterhouse,Waterhouse names water fitting a professor of viticulture and enology studying wine chemistry.,,birth_name,https://wineserver.ucdavis.edu/people/andrew-waterhouse,,,Nominative contradeterminism example: water expert in wine.,verified
,André-Marie Ampère,André-Marie,Ampère,physicist,science,,France,1775,1836,direct,5,Ampère,The ampere unit of electric current is named directly for him.,,birth_name,https://en.wikipedia.org/wiki/Andr%C3%A9-Marie_Amp%C3%A8re,,,SI base unit namesake.,verified
,Anne Dyer,Anne,Dyer,natural dyes author,science,,United Kingdom,,,semantic,5,Dyer,Dyer names her trade matching her book Dyes from Natural Sources.,,birth_name,https://www.newscientist.com/article/1833344-feedback-238/,,https://www.newscientist.com/article/1833344-feedback-238/,New Scientist Feedback noted the perfect title-subject match.,verified
,Annkatrin Rose,Annkatrin,Rose,plant molecular biologist,science,Appalachian State University,United States,,,semantic,4,Rose,Her surname names the rose fitting a botanist specializing in plant molecular biology.,,birth_name,https://biology.appstate.edu/directory/dr-annkatrin-rose,,,Associate professor of plant molecular biology.,verified
,Aral Okay,Aral,Okay,geologist,science,Istanbul Technical University,Turkey,1953,2023,wordplay,4,Okay,His surname reads as the English word okay fitting a geologist who mapped complex Turkish terranes.,,birth_name,https://haberler.itu.edu.tr/en/newsdetail/2024/05/17/prof-dr-aral-okay-s-scientific-legacy,,https://improbable.com/2011/06/19/okay-geologist/,Featured in Improbable Research Scientists Who Are Okay series.,verified
,Barbara Snow,Barbara,Snow,ornithologist,science,,United Kingdom,1921,2007,semantic,5,Snow,Her surname evokes snow fitting ornithological fieldwork in cold northern latitudes.,,birth_name,https://en.wikipedia.org/wiki/Barbara_Snow_(ornithologist),,https://en.wikipedia.org/wiki/Nominative_determinism,née Whitaker; married David Snow.,verified
,Benjamin Winger,Benjamin,Winger,ornithologist,science,University of Michigan,United States,,,semantic,4,Winger,His surname denotes wings fitting the songbirds he studies as curator of birds.,,birth_name,https://lsa.umich.edu/eeb/people/faculty/wingerb.html,,https://www.newscientist.com/article/2017525-feedback-nominative-determinism-redux/,Associate professor and U-M Museum of Zoology bird curator.,verified
,Bernard Foing,Bernard,Foing,space scientist,science,European Space Agency,France,,,phonetic,4,Foing,Foing sounds like going apt for a chief mission scientist who sent probes to the Moon.,,birth_name,https://en.wikipedia.org/wiki/Bernard_Foing,,https://en.wikipedia.org/wiki/Nominative_determinism,Principal Project Scientist for SMART-1 lunar mission.,verified
,Brian Atwater,Brian,Atwater,geologist,science,U.S. Geological Survey,United States,1951,,semantic,5,Atwater,Atwater names water fitting a geologist who documented Cascadia tsunami and coastal subsidence.,,birth_name,https://en.wikipedia.org/wiki/Brian_Atwater,,https://www.neatorama.com/2013/03/19/The-Name-Number-for-Geology-and-for-Other-Professions/,Science 1987 paper on great Holocene earthquakes.,verified
,Byron Stone,Byron,Stone,geologist,science,U.S. Geological Survey,United States,,,semantic,5,Stone,His surname names stone the material he has mapped across eight states for four decades.,,birth_name,https://www.usgs.gov/staff-profiles/byron-stone,,,Specialist in Quaternary glacial geology since 1969.,verified
,C. J. Berry,C.,Berry,wine expert,science,,United Kingdom,,,semantic,4,Berry,Berry names the fruit central to the homemade wines he documented.,,unknown,https://wit.substack.com/p/the-wits-guide-to-nominative-determinism,,https://wit.substack.com/p/the-wits-guide-to-nominative-determinism,Cited in New Scientist Feedback 1994.,probable
,Carl Jung,Carl,Jung,psychiatrist,science,,Switzerland,1875,1961,translation,4,Jung,Jung means young in German; Jung cited himself as championing rebirth in psychology.,German: young,birth_name,https://en.wikipedia.org/wiki/Carl_Jung,https://en.wiktionary.org/wiki/Jung,https://en.wikipedia.org/wiki/Nominative_determinism,Jung noted the Freud-Adler-Jung name pattern in Synchronicity.,verified
,Carl Richard Cavonius,Carl,Cavonius,visual scientist,science,Leibniz Research Centre for Working Environment and Human Factors,Germany,1932,2003,other,3,Cavonius,He coined the term nominative determinism while working as a vision scientist.,,birth_name,https://thisistrue.com/nominative-determinism/,,https://www.newscientist.com/article/2017525-feedback-nominative-determinism-redux/,Suggested the term to New Scientist Feedback in 1994.,verified
,Carolyn Screech,Carolyn,Screech,owl sanctuary co-founder,science,Screech Owl Sanctuary,United Kingdom,,,semantic,5,Screech,Her surname names the screech owl the species her sanctuary treats and rehabilitates.,,birth_name,https://www.bbc.com/news/uk-england-cornwall-16068468,,https://www.newscientist.com/article/1849552-feedback-507/,Co-founded Screech Owl Sanctuary with Tom Screech.,verified
,Christopher Spray,Christopher,Spray,water scientist,science,University of Dundee,United Kingdom,,,semantic,5,Spray,His surname names water spray fitting his chair in water science and policy.,,birth_name,https://discovery.dundee.ac.uk/en/persons/chris-spray/,,https://www.newscientist.com/article/1978183-feedback-return-of-nominative-determinism/,Former Chair of Water Science and Policy at UNESCO Centre.,verified
,Claire Loiseau,Claire,Loiseau,avian disease ecologist,science,San Francisco State University,France,,,translation,5,Loiseau,Loiseau is French for bird matching her research on diseases in Alaskan bird populations.,French: bird,birth_name,https://doi.org/10.1371/journal.pone.0044729,https://en.wiktionary.org/wiki/loiseau,https://www.newscientist.com/article/1978183-feedback-return-of-nominative-determinism/,Corresponding author on PLOS ONE avian malaria paper.,verified
,Clarence Gamble,Clarence,Gamble,contraception researcher,science,Pathfinder Fund,United States,1894,1966,semantic,4,Gamble,Gamble suggests risk fitting a researcher who funded large-scale contraceptive field trials.,,birth_name,https://hollisarchives.lib.harvard.edu/repositories/14/resources/9255,,https://www.newscientist.com/article/1849552-feedback-507/,Co-authored intra-uterine contraceptive device studies.,verified
,Dae-Sik Moon,Dae-Sik,Moon,astronomer,science,University of Toronto,Canada,,,semantic,5,Moon,His surname names the Moon studied by astronomers and supported by his instrumentation work.,,birth_name,https://www.astro.utoronto.ca/people/faculty/name/dae-sik-moon/,,,Experimental astrophysicist studying supernovae and GRBs.,verified
,Dani Byrd,Dani,Byrd,linguist,science,University of Southern California,United States,,,phonetic,4,Byrd,Byrd is a homophone of bird while she studies speech articulation in phonetics.,,birth_name,https://dornsife.usc.edu/profile/dani-byrd/,,,Professor of linguistics; speech production specialist.,verified
,David Price,David,Price,economist,science,University of Toronto,Canada,,,semantic,5,Price,His surname is price fitting a labour economist at the Centre for Industrial Relations.,,birth_name,https://www.rotman.utoronto.ca/FacultyAndResearch/Faculty/FacultyBios/Price,,,Associate professor of economic analysis and policy.,verified
,David Snow,David,Snow,ornithologist,science,Natural History Museum,United Kingdom,1924,2009,semantic,5,Snow,His surname evokes snow fitting decades of ornithological fieldwork in cold climates.,,birth_name,https://en.wikipedia.org/wiki/David_Snow_(ornithologist),,https://en.wikipedia.org/wiki/Nominative_determinism,Director of Charles Darwin Research Station 1963-64.,verified
,Dennis Bird,Dennis,Bird,geologist,science,Stanford University,United States,,,semantic,5,Bird,His surname names bird while he is a professor of geological and environmental sciences.,,birth_name,https://profiles.stanford.edu/dennis-bird,,,Studies water-rock reactions and biogeochemistry.,verified
,Eddy Carmack,Eddy,Carmack,oceanographer,science,Fisheries and Oceans Canada,Canada,,,semantic,5,Eddy,His forename Eddy names ocean eddies fitting an oceanographer who studies Arctic current systems.,,birth_name,https://doi.org/10.1016/j.dsr2.2008.08.020,,https://www.neatorama.com/2013/03/19/The-Name-Number-for-Geology-and-for-Other-Professions/,Research on Arctic Ocean circulation.,verified
,Edward Tatum,Edward,Tatum,geneticist,science,,United States,1909,1975,wordplay,3,Tatum,Tatum spelled backwards reads mutate fitting a Nobel geneticist who induced mutations.,,birth_name,https://en.wikipedia.org/wiki/Edward_Tatum,,https://en.wikipedia.org/wiki/Nominative_determinism,Reverse-name wordplay noted in New Scientist.,verified
,Elizabeth Fisher,Elizabeth,Fisher,environmental law scholar,science,University of Oxford,United Kingdom,,,semantic,3,Fisher,Fisher names one who fishes loosely apt for an environmental lawyer focused on natural resources.,,birth_name,https://www.law.ox.ac.uk/people/elizabeth-fisher,,,Professor of environmental law; weak fit.,borderline
,Forrest Hall,Forrest,Hall,forest scientist,science,U.S. Forest Service,United States,,,semantic,5,Forrest,His forename Forrest names a forest fitting a retired U.S. Forest Service scientist.,,birth_name,https://www.neatorama.com/2013/03/19/The-Name-Number-for-Geology-and-for-Other-Professions/,,https://www.neatorama.com/2013/03/19/The-Name-Number-for-Geology-and-for-Other-Professions/,Listed in Kevin Krajick Name Number paper; retired USFS.,probable
,Frances Fry,Frances,Fry,radiation protection scientist,science,National Radiological Protection Board,United Kingdom,1944,2005,semantic,4,Fry,Fry suggests heating with radiation fitting an NRPB assistant director on radiological protection.,,birth_name,https://doi.org/10.1088/0952-4746/16/3/007,,https://www.newscientist.com/article/mg14419546-200-feedback/,New Scientist listed Francis Fry; person is Frances Fry.,verified
,Francis Moon,Francis,Moon,mechanical engineer,science,Cornell University,United States,,,semantic,3,Moon,Moon names the celestial body whose gravitational pull governs the dynamics he models.,,birth_name,https://news.cornell.edu/stories/2007/01/frank-moon-wins-mechanical-engineering-lyapunov-award,,,Joseph C. Ford Professor emeritus; chaotic dynamics specialist.,verified
,Gene Shearer,Gene,Shearer,immunologist,science,National Institutes of Health,United States,1937,,semantic,4,Gene,His forename Gene names genetics fitting an NIH immunologist who discovered MHC restriction.,,birth_name,https://en.wikipedia.org/wiki/Gene_Shearer,,https://www.newscientist.com/article/mg14419546-200-feedback/,Forename aptronym cited in New Scientist Feedback.,verified
