id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Andrew Pothecary,Andrew,Pothecary,rheumatology lead pharmacist,medicine,Royal Cornwall Hospitals NHS Trust,United Kingdom,,,direct,5,Pothecary,Pothecary is the historical word for a pharmacist and he is a specialist hospital pharmacist.,English: apothecary (pharmacist),unknown,https://pharmaceutical-journal.com/article/feature/i-have-issued-15-repeat-prescriptions-this-morning-a-day-in-the-life-of-a-rheumatology-pharmacist,https://en.wiktionary.org/wiki/apothecary,https://improbable.com/2015/03/17/nominative-determinism-a-pothecary-the-pharmacist/,Profiled in The West Briton as Mr A Pothecary the pharmacist; lead pharmacist since 2011.,verified
,Meghan Rae Stork,Meghan,Stork,certified nurse midwife,medicine,Legacy Community Health,United States,,,semantic,5,Stork,Stork is folklore's baby-delivery bird and she practises as a certified nurse midwife.,,unknown,https://www.legacycommunityhealth.org/provider-directory/meghan-stork-np/,,,American Midwifery Certification Board credential since 2006; distinct from obstetrician Abby Stork in master set.,verified
,Melodie Reader,Melodie,Reader,children and young adult librarian,education,Sapulpa Public Library,United States,,,direct,5,Reader,Reader names one who reads and she is a public librarian coordinating youth programmes.,,unknown,https://sapulpatimes.com/41299-2/,,,Also assistant director; STEAM Con coordinator cited by Sapulpa Times.,verified
,Joel Parrott,Joel,Parrott,zoo director,other,Oakland Zoo,United States,,,semantic,4,Parrott,Parrott matches the parrots he treated as a wildlife veterinarian and later directed at Oakland Zoo.,English: parrot (extra t in spelling),unknown,https://oaklandside.org/2026/07/07/oakland-names-aptronyms-caen/,,,Director 1985–2021; retired with a pet princess parrot.,verified
,Cramer J. Stiff,Cramer,Stiff,licensed cemeterian and undertaker,trades,Mount Rose Cemetery,United States,,,semantic,5,Stiff,Stiff describes a corpse and he is a licensed undertaker and grief counsellor.,,unknown,https://www.deseret.com/1997/6/22/19319526/vocationally-apt-names-aren-t-always-a-blessing-ask-undertaker-cramer-stiff-judge-aaron-ment-or-exte/,,,Marketing director for Mount Rose Cemetery; Dow Jones/Deseret News 1997 profile.,verified
,Ren Newcomer,Ren,Newcomer,funeral director and funeral-home chain founder,trades,Newcomer Funeral Service Group,United States,,,semantic,4,Newcomer,Newcomer names his role as an innovator who opened discount funeral homes against industry tradition.,,unknown,https://www.newcomer.com/about-newcomer,,https://www.inc.com/magazine/19980401/898.html,Inc. called him aptly named when launching TV-advertised discount funeral chain; fourth-generation funeral director.,verified
,Josey Baker,Josey,Baker,baker and bakery owner,food,Josey Baker Bread,United States,,,direct,5,Baker,Baker is the occupation and he runs Josey Baker Bread at The Mill in San Francisco.,,unknown,https://www.grubstreet.com/2013/02/josey-baker-bread-profile-the-mill-bold-italic.html,,,Bold Italic profile called him aptly named baker.,verified
,Henry Levy,Henry,Levy,elected treasurer and tax collector,politics,Alameda County,United States,,,direct,5,Levy,Levy means to impose a tax and he is the elected county treasurer and tax collector.,English: levy (impose a tax),unknown,https://oaklandside.org/2026/07/07/oakland-names-aptronyms-caen/,https://www.etymonline.com/word/levy,,Elected Alameda County treasurer and tax collector since 2017; surname pronounced Lee-vee.,verified
,Margaret Chance,Margaret,Chance,principal consulting actuary,business,Milliman,United States,,,semantic,4,Chance,Chance names probability and uncertainty at the heart of actuarial work.,,unknown,https://www.milliman.com/en/consultants/Chance-Margaret,,,FSA MAAA; joined Milliman 2003; health insurance actuary.,verified
,Wallace Morrison Graves Jr.,Wallace,Graves,clinical pathologist and chief medical examiner,crime,,United States,1939,2019,semantic,4,Graves,Graves names burial places and he served as chief medical examiner for Florida Judicial District 21.,,unknown,https://linnemannfuneralhomes.com/obituary/wallace-graves-jr-m-d/,,,Former Fort Myers pathologist; district medical examiner; obituary confirms role.,verified
