id,full_name,first_name,last_name,occupation,field,organization,country,birth_year,death_year,aptronym_type,aptronym_score,name_element,connection,name_origin,name_status,person_source_url,name_source_url,discovery_source_url,notes,review_status
,Lee Ballanfant,Lee,Ballanfant,MLB umpire,sports,Major League Baseball,United States,1895,1987,wordplay,5,Ballanfant,"Ball names the baseball his fair-foul calls judged at first base.",,birth_name,https://en.wikipedia.org/wiki/Lee_Ballanfant,,https://www.retrosheet.org/downloads/csvumpires.html,Four World Series as NL umpire 1936-1957.,verified
,Paul Fair,Paul,Fair,MLB umpire,sports,Major League Baseball,United States,,,direct,5,Fair,"Fair names the fair-and-foul rulings he made as a National League umpire from 1935 to 1941.",,birth_name,https://ksbaseballhof.com/fair-paul/,,https://www.retrosheet.org/downloads/csvumpires.html,Kansas Baseball Hall of Fame; also NBC umpire director.,verified
,Hank Soar,Hank,Soar,MLB umpire,sports,Major League Baseball,United States,1914,2001,semantic,4,Soar,"Soar names the fly balls he tracked as a major-league umpire for 23 seasons.",,birth_name,https://en.wikipedia.org/wiki/Hank_Soar,,https://www.retrosheet.org/downloads/csvumpires.html,Also an NFL running back before umpiring; birth name Albert Henry Soar.,verified
,Mike Callahan,Mike,Callahan,NBA referee,sports,National Basketball Association,United States,1959,,direct,5,Callahan,"Callahan names the foul calls and violations he whistled as an NBA referee for 29 seasons.",,birth_name,https://www.basketball-reference.com/referees/callami99r.html,,https://www.nba.com/news/nba-referee-promotions-mike-callahan-g-league-official-release,Officiated 1626 regular-season games and 21 NBA Finals.,verified
,Brian Runge,Brian,Runge,MLB umpire,sports,Major League Baseball,United States,1970,,semantic,3,Runge,"Runge names the base runners he ruled safe or out across 14 major-league seasons.",,birth_name,https://en.wikipedia.org/wiki/Brian_Runge,,https://www.retrosheet.org/downloads/csvumpires.html,First third-generation MLB umpiring family; crew chief for Philip Humber's perfect game.,verified
,Plate,,Plate,MLB umpire,sports,Major League Baseball,United States,,,direct,5,Plate,"Plate names home plate, the base he worked as a substitute umpire on 17 July 1946.",,unknown,https://www.retrosheet.org/downloads/csvumpires.html,,https://www.retrosheet.org/downloads/csvumpires.html,Single-game MLB umpire (platu901); first name not recorded in Retrosheet register.,verified
,Dickie Bird,Dickie,Bird,cricket umpire,sports,England and Wales Cricket Board,England,1933,2025,semantic,4,Bird,"Bird names the cricket umpire who stood in 66 Test matches and 69 one-day internationals.",,birth_name,https://en.wikipedia.org/wiki/Dickie_Bird,,https://en.wikipedia.org/wiki/Aptronym,Birth name Harold Dennis Bird; school nickname Dickie.,verified
,Wolfgang Stark,Wolfgang,Stark,FIFA football referee,sports,German Football Association,Germany,1969,,translation,3,Stark,"Stark means strong in German, fitting a FIFA referee who controlled World Cup and Bundesliga matches.",German: strong,birth_name,https://en.wikipedia.org/wiki/Wolfgang_Stark,https://en.wiktionary.org/wiki/stark#German,,Retired 2017; 2010 FIFA World Cup referee.,verified
,Shane Hurley,Shane,Hurley,hurling goalkeeper,sports,Cork GAA,Ireland,1997,,direct,5,Hurley,"Hurley names the ash stick hurlers use, and he keeps goal for Cork.",Irish: hurley stick,birth_name,https://en.wikipedia.org/wiki/Shane_Hurley,,,Native name Seán Ó hUrthuile; St Finbarr's and Cork senior panel.,verified
,John Strike,John,Strike,baseball pitcher,sports,Philadelphia Phillies,United States,1865,,direct,5,Strike,"Strike names the pitched strike, the central call of his job as a nineteenth-century pitcher.",,birth_name,https://www.baseball-reference.com/players/s/strikjo01.shtml,,,Two-game MLB career in 1886; 11 strikeouts.,verified
